year,state_fips,state_name,pop_25plus,bachelors_or_higher,bachelors_pct
2008,01,Alabama,3078499,677070,21.99
2008,02,Alaska,424901,116034,27.31
2008,04,Arizona,4192547,1052333,25.1
2008,05,Arkansas,1872814,351940,18.79
2008,06,California,23528476,6962126,29.59
2008,08,Colorado,3263026,1161467,35.59
2008,09,Connecticut,2364317,841910,35.61
2008,10,Delaware,581811,159978,27.5
2008,11,District of Columbia,403768,194759,48.24
2008,12,Florida,12699412,3278447,25.82
2008,13,Georgia,6191871,1702466,27.5
2008,15,Hawaii,873046,254173,29.11
2008,16,Idaho,959162,230157,24.0
2008,17,Illinois,8393247,2507694,29.88
2008,18,Indiana,4177420,956371,22.89
2008,19,Iowa,1979224,480240,24.26
2008,20,Kansas,1806450,534955,29.61
2008,21,Kentucky,2872922,565288,19.68
2008,22,Louisiana,2830500,573850,20.27
2008,23,Maine,928594,235518,25.36
2008,24,Maryland,3741795,1316442,35.18
2008,25,Massachusetts,4397927,1675267,38.09
2008,26,Michigan,6627768,1640173,24.75
2008,27,Minnesota,3456013,1089354,31.52
2008,28,Mississippi,1862456,361051,19.39
2008,29,Missouri,3915849,979207,25.01
2008,30,Montana,648277,175831,27.12
2008,31,Nebraska,1151267,312412,27.14
2008,32,Nevada,1710130,373815,21.86
2008,33,New Hampshire,903088,300887,33.32
2008,34,New Jersey,5864395,2017624,34.4
2008,35,New Mexico,1278005,315930,24.72
2008,36,New York,13072344,4173189,31.92
2008,37,North Carolina,6085315,1586081,26.06
2008,38,North Dakota,418893,112643,26.89
2008,39,Ohio,7664309,1847054,24.1
2008,40,Oklahoma,2359350,523057,22.17
2008,41,Oregon,2580555,725153,28.1
2008,42,Pennsylvania,8475332,2225655,26.26
2008,44,Rhode Island,708746,212880,30.04
2008,45,South Carolina,2960522,700496,23.66
2008,46,South Dakota,522989,131050,25.06
2008,47,Tennessee,4176640,954737,22.86
2008,48,Texas,15124846,3832100,25.34
2008,49,Utah,1554634,451739,29.06
2008,50,Vermont,429859,138088,32.12
2008,51,Virginia,5155750,1736982,33.69
2008,53,Washington,4387893,1347084,30.7
2008,54,West Virginia,1265065,216204,17.09
2008,55,Wisconsin,3758610,965664,25.69
2008,56,Wyoming,349389,82557,23.63
2008,72,Puerto Rico,2571234,543869,21.15
2009,01,Alabama,3115982,686543,22.03
2009,02,Alaska,431178,114535,26.56
2009,04,Arizona,4248231,1085753,25.56
2009,05,Arkansas,1903914,358933,18.85
2009,06,California,23782109,7110449,29.9
2009,08,Colorado,3293368,1181594,35.88
2009,09,Connecticut,2370028,843502,35.59
2009,10,Delaware,595133,171091,28.75
2009,11,District of Columbia,413396,200382,48.47
2009,12,Florida,12800944,3233714,25.26
2009,13,Georgia,6230326,1716045,27.54
2009,15,Hawaii,882883,261095,29.57
2009,16,Idaho,963730,230252,23.89
2009,17,Illinois,8437673,2581463,30.59
2009,18,Indiana,4193210,944320,22.52
2009,19,Iowa,1980897,496918,25.09
2009,20,Kansas,1809054,533004,29.46
2009,21,Kentucky,2877333,603567,20.98
2009,22,Louisiana,2896932,620131,21.41
2009,23,Maine,924973,249275,26.95
2009,24,Maryland,3797739,1355268,35.69
2009,25,Massachusetts,4490445,1716578,38.23
2009,26,Michigan,6624875,1628826,24.59
2009,27,Minnesota,3486153,1098041,31.5
2009,28,Mississippi,1865862,365660,19.6
2009,29,Missouri,3961562,999095,25.22
2009,30,Montana,648828,177632,27.38
2009,31,Nebraska,1153230,315465,27.35
2009,32,Nevada,1728239,376423,21.78
2009,33,New Hampshire,902747,288873,32.0
2009,34,New Jersey,5905302,2037481,34.5
2009,35,New Mexico,1290920,327130,25.34
2009,36,New York,13197392,4275463,32.4
2009,37,North Carolina,6150247,1632573,26.54
2009,38,North Dakota,419435,108035,25.76
2009,39,Ohio,7738348,1866776,24.12
2009,40,Oklahoma,2376783,540276,22.73
2009,41,Oregon,2586798,754459,29.17
2009,42,Pennsylvania,8609133,2271270,26.38
2009,44,Rhode Island,715565,217976,30.46
2009,45,South Carolina,3019333,734662,24.33
2009,46,South Dakota,523836,131554,25.11
2009,47,Tennessee,4213368,969266,23.0
2009,48,Texas,15361557,3917304,25.5
2009,49,Utah,1573179,448121,28.49
2009,50,Vermont,425483,140634,33.05
2009,51,Virginia,5207987,1770257,33.99
2009,53,Washington,4445351,1379728,31.04
2009,54,West Virginia,1263943,218270,17.27
2009,55,Wisconsin,3761656,965428,25.66
2009,56,Wyoming,355793,84564,23.77
2009,72,Puerto Rico,2595507,556734,21.45
2010,01,Alabama,3161521,692695,21.91
2010,02,Alaska,450577,125823,27.92
2010,04,Arizona,4146758,1074035,25.9
2010,05,Arkansas,1919422,374018,19.49
2010,06,California,24097200,7251271,30.09
2010,08,Colorado,3328045,1211230,36.39
2010,09,Connecticut,2434383,865299,35.54
2010,10,Delaware,600779,167068,27.81
2010,11,District of Columbia,416824,208824,50.1
2010,12,Florida,13077179,3371251,25.78
2010,13,Georgia,6235623,1701758,27.29
2010,15,Hawaii,926928,273574,29.51
2010,16,Idaho,987829,240928,24.39
2010,17,Illinois,8465762,2603917,30.76
2010,18,Indiana,4229798,959113,22.68
2010,19,Iowa,2018785,503551,24.94
2010,20,Kansas,1840681,547888,29.77
2010,21,Kentucky,2903308,596383,20.54
2010,22,Louisiana,2945907,630895,21.42
2010,23,Maine,937014,250969,26.78
2010,24,Maryland,3873474,1396843,36.06
2010,25,Massachusetts,4458898,1738899,39.0
2010,26,Michigan,6569801,1655181,25.19
2010,27,Minnesota,3528096,1122836,31.83
2010,28,Mississippi,1904406,371519,19.51
2010,29,Missouri,3984849,1019819,25.59
2010,30,Montana,672952,193860,28.81
2010,31,Nebraska,1184379,339071,28.63
2010,32,Nevada,1789530,388125,21.69
2010,33,New Hampshire,907755,297481,32.77
2010,34,New Jersey,5970904,2113316,35.39
2010,35,New Mexico,1341329,335076,24.98
2010,36,New York,13089848,4259792,32.54
2010,37,North Carolina,6325621,1673319,26.45
2010,38,North Dakota,442946,122299,27.61
2010,39,Ohio,7720849,1900790,24.62
2010,40,Oklahoma,2449213,560541,22.89
2010,41,Oregon,2614886,751803,28.75
2010,42,Pennsylvania,8654829,2343485,27.08
2010,44,Rhode Island,709979,214586,30.22
2010,45,South Carolina,3074357,754491,24.54
2010,46,South Dakota,532379,139786,26.26
2010,47,Tennessee,4242391,980364,23.11
2010,48,Texas,15772122,4091770,25.94
2010,49,Utah,1584824,465141,29.35
2010,50,Vermont,431042,144831,33.6
2010,51,Virginia,5361301,1835618,34.24
2010,53,Washington,4505657,1399238,31.06
2010,54,West Virginia,1294747,226845,17.52
2010,55,Wisconsin,3800295,1001353,26.35
2010,56,Wyoming,370951,89474,24.12
2010,72,Puerto Rico,2444933,544421,22.27
2011,01,Alabama,3193078,710532,22.25
2011,02,Alaska,456862,120461,26.37
2011,04,Arizona,4211223,1119198,26.58
2011,05,Arkansas,1943427,394820,20.32
2011,06,California,24443872,7406320,30.3
2011,08,Colorado,3387310,1243092,36.7
2011,09,Connecticut,2444403,884059,36.17
2011,10,Delaware,611120,176243,28.84
2011,11,District of Columbia,428261,224764,52.48
2011,12,Florida,13267581,3429229,25.85
2011,13,Georgia,6308961,1738965,27.56
2011,15,Hawaii,939512,273274,29.09
2011,16,Idaho,998460,252095,25.25
2011,17,Illinois,8521694,2643864,31.03
2011,18,Indiana,4255459,979216,23.01
2011,19,Iowa,2027201,523099,25.8
2011,20,Kansas,1852094,558107,30.13
2011,21,Kentucky,2922350,616025,21.08
2011,22,Louisiana,2972737,627940,21.12
2011,23,Maine,942537,267551,28.39
2011,24,Maryland,3915657,1444372,36.89
2011,25,Massachusetts,4502048,1762510,39.15
2011,26,Michigan,6588324,1688269,25.63
2011,27,Minnesota,3560801,1152851,32.38
2011,28,Mississippi,1912708,379625,19.85
2011,29,Missouri,4008554,1044982,26.07
2011,30,Montana,676793,190918,28.21
2011,31,Nebraska,1196112,334127,27.93
2011,32,Nevada,1810960,406875,22.47
2011,33,New Hampshire,914207,305313,33.4
2011,34,New Jersey,6004613,2118903,35.29
2011,35,New Mexico,1354186,345995,25.55
2011,36,New York,13197704,4345667,32.93
2011,37,North Carolina,6399357,1722474,26.92
2011,38,North Dakota,448145,117900,26.31
2011,39,Ohio,7749236,1910745,24.66
2011,40,Oklahoma,2469196,588085,23.82
2011,41,Oregon,2644754,775821,29.33
2011,42,Pennsylvania,8714235,2349673,26.96
2011,44,Rhode Island,712266,221812,31.14
2011,45,South Carolina,3110532,748675,24.07
2011,46,South Dakota,537588,141634,26.35
2011,47,Tennessee,4294392,1013898,23.61
2011,48,Texas,16074391,4247679,26.43
2011,49,Utah,1608668,478566,29.75
2011,50,Vermont,434652,153890,35.41
2011,51,Virginia,5418844,1903494,35.13
2011,53,Washington,4583426,1461004,31.88
2011,54,West Virginia,1294198,239041,18.47
2011,55,Wisconsin,3831373,1014313,26.47
2011,56,Wyoming,375608,92848,24.72
2011,72,Puerto Rico,2443515,569551,23.31
2012,01,Alabama,3209646,747159,23.28
2012,02,Alaska,464594,130124,28.01
2012,04,Arizona,4280464,1170586,27.35
2012,05,Arkansas,1949382,409109,20.99
2012,06,California,24779784,7660529,30.91
2012,08,Colorado,3444654,1291006,37.48
2012,10,Delaware,618612,182689,29.53
2012,11,District of Columbia,439531,232791,52.96
2012,09,Connecticut,2457978,911137,37.07
2012,12,Florida,13503747,3623069,26.83
2012,13,Georgia,6403838,1807275,28.22
2012,16,Idaho,1012786,257893,25.46
2012,15,Hawaii,952281,286216,30.06
2012,17,Illinois,8558895,2707353,31.63
2012,18,Indiana,4278945,1002109,23.42
2012,19,Iowa,2036993,536320,26.33
2012,20,Kansas,1863224,566242,30.39
2012,21,Kentucky,2935461,639145,21.77
2012,22,Louisiana,3006605,660068,21.95
2012,23,Maine,947017,264729,27.95
2012,24,Maryland,3972135,1466987,36.93
2012,25,Massachusetts,4556609,1789945,39.28
2012,26,Michigan,6621018,1723403,26.03
2012,27,Minnesota,3600744,1195340,33.2
2012,28,Mississippi,1911968,395016,20.66
2012,29,Missouri,4023641,1062670,26.41
2012,30,Montana,686770,201929,29.4
2012,31,Nebraska,1206908,349662,28.97
2012,32,Nevada,1840642,411797,22.37
2012,33,New Hampshire,919883,317891,34.56
2012,34,New Jersey,6049352,2192183,36.24
2012,35,New Mexico,1360330,355288,26.12
2012,36,New York,13309761,4443762,33.39
2012,37,North Carolina,6489883,1775858,27.36
2012,38,North Dakota,457904,127875,27.93
2012,39,Ohio,7770716,1961312,25.24
2012,40,Oklahoma,2487456,591307,23.77
2012,41,Oregon,2671772,799454,29.92
2012,42,Pennsylvania,8756317,2435534,27.81
2012,44,Rhode Island,712271,223743,31.41
2012,45,South Carolina,3151616,791022,25.1
2012,46,South Dakota,544292,142951,26.26
2012,47,Tennessee,4336473,1052804,24.28
2012,48,Texas,16390379,4384080,26.75
2012,50,Vermont,434948,155505,35.75
2012,49,Utah,1641335,504521,30.74
2012,51,Virginia,5504766,1951504,35.45
2012,53,Washington,4645859,1471515,31.67
2012,54,West Virginia,1296201,241684,18.65
2012,55,Wisconsin,3854170,1046153,27.14
2012,56,Wyoming,380942,94278,24.75
2012,72,Puerto Rico,2432137,589105,24.22
2013,28,Mississippi,1931054,393406,20.37
2013,29,Missouri,4047283,1091005,26.96
2013,30,Montana,689169,199788,28.99
2013,31,Nebraska,1215208,356792,29.36
2013,32,Nevada,1872884,422100,22.54
2013,33,New Hampshire,924568,319445,34.55
2013,34,New Jersey,6086705,2225869,36.57
2013,35,New Mexico,1361846,359368,26.39
2013,36,New York,13419310,4573878,34.08
2013,37,North Carolina,6568110,1864989,28.39
2013,38,North Dakota,467815,126938,27.13
2013,39,Ohio,7805254,2040566,26.14
2013,40,Oklahoma,2506437,596461,23.8
2013,41,Oregon,2704043,831120,30.74
2013,42,Pennsylvania,8809510,2527174,28.69
2013,44,Rhode Island,719956,233115,32.38
2013,45,South Carolina,3198816,834542,26.09
2013,46,South Dakota,550959,146306,26.55
2013,47,Tennessee,4370035,1082373,24.77
2013,48,Texas,16673656,4592151,27.54
2013,50,Vermont,436174,155817,35.72
2013,49,Utah,1670449,523495,31.34
2013,51,Virginia,5561224,2010335,36.15
2013,53,Washington,4706104,1540468,32.73
2013,54,West Virginia,1294025,244955,18.93
2013,55,Wisconsin,3879291,1074631,27.7
2013,56,Wyoming,383914,102003,26.57
2013,72,Puerto Rico,2417418,585069,24.2
2013,01,Alabama,3225447,756953,23.47
2013,02,Alaska,462659,129413,27.97
2013,04,Arizona,4344737,1188441,27.35
2013,05,Arkansas,1960503,403937,20.6
2013,06,California,25147232,7805734,31.04
2013,08,Colorado,3514235,1328281,37.8
2013,10,Delaware,629730,187385,29.76
2013,11,District of Columbia,453014,249606,55.1
2013,09,Connecticut,2465315,917454,37.21
2013,12,Florida,13726996,3734175,27.2
2013,13,Georgia,6472172,1833119,28.32
2013,16,Idaho,1026889,269406,26.24
2013,15,Hawaii,959903,299251,31.18
2013,17,Illinois,8593665,2760102,32.12
2013,18,Indiana,4312892,1027219,23.82
2013,19,Iowa,2048270,541509,26.44
2013,20,Kansas,1872445,581416,31.05
2013,21,Kentucky,2953653,667026,22.58
2013,22,Louisiana,3034973,684227,22.54
2013,23,Maine,953962,269188,28.22
2013,24,Maryland,4018701,1503805,37.42
2013,25,Massachusetts,4604795,1855376,40.29
2013,26,Michigan,6645295,1787387,26.9
2013,27,Minnesota,3629333,1216883,33.53
2014,01,Alabama,3256766,764407,23.47
2014,02,Alaska,465149,130264,28.0
2014,04,Arizona,4436226,1222292,27.55
2014,05,Arkansas,1968414,420958,21.39
2014,06,California,25654292,8136670,31.72
2014,08,Colorado,3584463,1374212,38.34
2014,10,Delaware,640343,195881,30.59
2014,11,District of Columbia,463211,254672,54.98
2014,09,Connecticut,2471818,940114,38.03
2014,12,Florida,14041196,3830504,27.28
2014,13,Georgia,6576408,1910600,29.05
2014,16,Idaho,1045193,261522,25.02
2014,15,Hawaii,974586,302339,31.02
2014,17,Illinois,8639076,2833407,32.8
2014,18,Indiana,4342916,1070602,24.65
2014,19,Iowa,2062734,570426,27.65
2014,20,Kansas,1881521,593084,31.52
2014,21,Kentucky,2967181,659701,22.23
2014,22,Louisiana,3060688,701596,22.92
2014,23,Maine,959407,281781,29.37
2014,24,Maryland,4062813,1553684,38.24
2014,25,Massachusetts,4654351,1916729,41.18
2014,26,Michigan,6680525,1827339,27.35
2014,27,Minnesota,3672583,1258534,34.27
2014,28,Mississippi,1950710,410953,21.07
2014,29,Missouri,4076767,1120711,27.49
2014,30,Montana,695850,203839,29.29
2014,31,Nebraska,1224701,361769,29.54
2014,32,Nevada,1919598,443463,23.1
2014,33,New Hampshire,931304,326030,35.01
2014,34,New Jersey,6127931,2291268,37.39
2014,35,New Mexico,1373822,362934,26.42
2014,36,New York,13539612,4667982,34.48
2014,37,North Carolina,6661937,1912564,28.71
2014,38,North Dakota,478850,131316,27.42
2014,39,Ohio,7857460,2092218,26.63
2014,40,Oklahoma,2529885,611368,24.17
2014,41,Oregon,2746957,846246,30.81
2014,42,Pennsylvania,8858865,2567725,28.98
2014,44,Rhode Island,725871,220894,30.43
2014,45,South Carolina,3260929,856973,26.28
2014,46,South Dakota,555488,154216,27.76
2014,47,Tennessee,4425073,1118307,25.27
2014,48,Texas,17087888,4749029,27.79
2014,50,Vermont,438279,152901,34.89
2014,49,Utah,1704734,530203,31.1
2014,51,Virginia,5623295,2066339,36.75
2014,53,Washington,4784484,1584776,33.12
2014,54,West Virginia,1296350,248257,19.15
2014,55,Wisconsin,3898162,1108094,28.43
2014,56,Wyoming,388962,103333,26.57
2014,72,Puerto Rico,2400677,586712,24.44
2015,28,Mississippi,1952337,406599,20.83
2015,29,Missouri,4097212,1140860,27.84
2015,30,Montana,706329,216174,30.61
2015,31,Nebraska,1232583,372288,30.2
2015,32,Nevada,1968167,463681,23.56
2015,33,New Hampshire,937214,334313,35.67
2015,34,New Jersey,6166384,2318073,37.59
2015,35,New Mexico,1377548,364462,26.46
2015,36,New York,13641473,4778463,35.03
2015,37,North Carolina,6762644,1991057,29.44
2015,38,North Dakota,492017,143403,29.15
2015,39,Ohio,7896470,2115116,26.79
2015,40,Oklahoma,2557863,630004,24.63
2015,41,Oregon,2804461,901667,32.15
2015,42,Pennsylvania,8895727,2641023,29.69
2015,44,Rhode Island,730083,238818,32.71
2015,45,South Carolina,3319832,890241,26.82
2015,46,South Dakota,563108,154885,27.51
2015,47,Tennessee,4473487,1151080,25.73
2015,48,Texas,17472861,4955374,28.36
2015,50,Vermont,438654,162072,36.95
2015,49,Utah,1741949,554712,31.84
2015,51,Virginia,5685318,2102044,36.97
2015,53,Washington,4889314,1670893,34.17
2015,54,West Virginia,1300347,254414,19.57
