District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
FL-18,"Mast, Brian",R,R+13,R+13,R+5,46%,54%,-8%,44%,53%,-9%,48%,51%,-4%,51%,48%,3%,0.98,75.8%,11.0%,10.5%,1.6%,"$56,264",30.2%,24.7%,48.4%,Sparse suburban
FL-19,"Donalds, Byron",R,R+26,R+27,R+13,40%,60%,-20%,38%,60%,-22%,39%,61%,-22%,42%,57%,-15%,0.92,80.6%,6.1%,11.2%,1.3%,"$54,971",31.9%,27.9%,48.8%,Sparse suburban
FL-20,"Cherfilus-McCormick, Sheila",D,D+53,D+58,D+31,77%,22%,55%,80%,18%,62%,83%,17%,65%,81%,19%,62%,0.99,24.4%,52.8%,19.8%,2.2%,"$43,648",21.0%,6.1%,16.4%,Urban-suburban mix
FL-21,"Frankel, Lois",D,D+13,D+15,D+9,58%,41%,17%,59%,39%,20%,60%,39%,22%,63%,36%,28%,0.99,69.0%,12.1%,15.7%,2.1%,"$55,616",34.0%,25.5%,38.0%,Dense suburban
FL-22,"Deutch, Ted",D,D+10,D+10,D+6,57%,42%,15%,57%,41%,16%,56%,43%,13%,58%,41%,17%,1.07,67.4%,12.1%,16.4%,2.6%,"$59,830",38.0%,27.7%,36.1%,Dense suburban
FL-23,"Wasserman Schultz, Debbie",D,D+15,D+20,D+11,58%,41%,17%,62%,36%,26%,61%,38%,23%,62%,37%,25%,1.06,49.4%,13.5%,32.3%,3.5%,"$62,823",38.8%,18.9%,27.3%,Urban-suburban mix
FL-24,"Wilson, Frederica",D,D+52,D+64,D+34,75%,24%,51%,83%,15%,68%,86%,14%,72%,84%,16%,68%,0.80,14.7%,52.2%,32.9%,1.2%,"$37,821",19.3%,4.6%,8.3%,Urban-suburban mix
FL-25,"Diaz-Balart, Mario",R,R+21,R+10,R+4,38%,61%,-23%,48%,50%,-2%,45%,55%,-10%,41%,59%,-18%,1.27,25.9%,4.7%,68.7%,1.0%,"$46,827",23.1%,6.6%,12.9%,Urban-suburban mix
FL-26,"Gimenez, Carlos",R,R+3,D+9,D+6,47%,53%,-6%,57%,41%,16%,55%,44%,12%,52%,48%,4%,1.22,21.1%,12.4%,64.9%,1.8%,"$53,318",25.8%,6.0%,11.3%,Urban-suburban mix
FL-27,"Salazar, María Elvira",R,D+4,D+10,D+5,51%,48%,3%,59%,39%,20%,53%,46%,7%,50%,49%,1%,1.09,25.7%,6.0%,66.4%,1.9%,"$52,353",38.0%,12.8%,8.0%,Urban-suburban mix
GA-1,"Carter, Buddy",R,R+19,R+21,R+9,43%,56%,-12%,41%,56%,-16%,43%,56%,-13%,44%,55%,-11%,0.81,63.5%,29.4%,4.1%,1.3%,"$49,245",25.4%,18.4%,45.3%,Rural-suburban mix
GA-2,"Bishop, Sanford",D,D+6,D+7,D+6,56%,43%,12%,55%,43%,12%,59%,41%,18%,58%,42%,16%,0.80,44.0%,51.4%,2.6%,0.8%,"$36,332",17.7%,10.0%,34.6%,Rural-suburban mix
GA-3,"Ferguson, Drew",R,R+33,R+39,R+18,37%,62%,-25%,33%,64%,-32%,33%,66%,-33%,34%,65%,-31%,0.90,70.2%,23.7%,3.2%,1.2%,"$55,443",26.0%,19.7%,50.1%,Rural-suburban mix
GA-4,"Johnson, Hank",D,D+51,D+45,D+24,79%,20%,59%,75%,22%,53%,74%,26%,48%,73%,26%,47%,0.80,29.5%,61.9%,3.8%,3.3%,"$52,414",30.2%,11.0%,17.6%,Sparse suburban
GA-5,"Williams, Nikema",D,D+68,D+65,D+34,86%,13%,74%,85%,12%,73%,83%,16%,67%,84%,15%,69%,0.79,32.7%,59.3%,3.3%,3.0%,"$47,961",40.6%,22.7%,9.6%,Dense suburban
GA-6,"McBath, Lucy",D,D+1,R+15,R+8,55%,44%,11%,47%,48%,-2%,38%,61%,-23%,40%,59%,-19%,1.08,71.3%,14.7%,5.3%,6.9%,"$86,295",59.7%,42.4%,21.9%,Dense suburban
GA-7,"Bourdeaux, Carolyn",D,R+4,R+18,R+9,52%,46%,6%,45%,51%,-6%,38%,60%,-22%,39%,60%,-21%,0.88,57.2%,21.3%,9.3%,10.6%,"$70,486",40.2%,23.2%,26.8%,Sparse suburban
GA-8,"Scott, Austin",R,R+32,R+34,R+15,37%,62%,-25%,34%,63%,-29%,38%,62%,-24%,38%,62%,-24%,1.00,64.5%,30.3%,3.0%,0.9%,"$43,142",20.6%,15.2%,48.9%,Pure rural
GA-9,"Clyde, Andrew",R,R+61,R+64,R+31,22%,76%,-54%,19%,78%,-59%,21%,78%,-58%,24%,75%,-50%,0.81,86.4%,7.0%,4.5%,1.0%,"$50,214",22.0%,20.1%,62.0%,Pure rural
GA-10,"Hice, Jody",R,R+28,R+32,R+15,39%,60%,-20%,36%,61%,-26%,36%,63%,-26%,39%,60%,-22%,0.80,69.3%,24.8%,3.0%,1.6%,"$51,042",25.1%,19.6%,48.4%,Pure rural
GA-11,"Loudermilk, Barry",R,R+24,R+35,R+17,42%,57%,-15%,35%,60%,-25%,32%,67%,-35%,35%,64%,-30%,0.86,74.6%,16.4%,5.3%,2.3%,"$69,534",40.3%,30.2%,40.7%,Sparse suburban
GA-12,"Allen, Rick",R,R+20,R+21,R+9,43%,56%,-13%,41%,57%,-16%,44%,55%,-12%,44%,56%,-12%,0.92,59.4%,34.7%,3.4%,1.3%,"$42,825",20.8%,14.5%,45.0%,Pure rural
GA-13,"Scott, David",D,D+44,D+36,D+20,76%,23%,52%,71%,27%,44%,69%,30%,39%,67%,32%,35%,0.84,31.9%,59.6%,5.2%,2.3%,"$55,060",28.2%,8.2%,23.7%,Sparse suburban
GA-14,"Greene, Marjorie Taylor",R,R+55,R+58,R+27,25%,73%,-48%,22%,75%,-53%,25%,73%,-48%,28%,71%,-43%,0.98,84.6%,8.9%,4.7%,0.7%,"$48,731",17.4%,14.6%,66.5%,Rural-suburban mix
HI-1,"Case, Ed",D,D+32,D+36,D+17,64%,35%,29%,63%,31%,33%,70%,29%,41%,70%,28%,42%,1.17,18.7%,2.4%,7.4%,51.4%,"$78,813",35.1%,8.6%,8.5%,Urban-suburban mix
HI-2,"Kahele, Kai",D,D+32,D+37,D+19,64%,34%,30%,61%,30%,32%,71%,27%,45%,73%,25%,49%,1.31,33.4%,1.7%,9.3%,26.6%,"$71,289",28.8%,14.1%,19.0%,Rural-suburban mix
IA-1,"Hinson, Ashley",R,R+4,R+3,D+1,47%,51%,-3%,45%,49%,-4%,56%,43%,14%,59%,40%,18%,1.13,92.9%,3.0%,2.0%,0.8%,"$57,084",26.0%,24.3%,67.7%,Rural-suburban mix
IA-2,"Miller-Meeks, Mariannette",R,R+5,R+3,D+1,47%,51%,-4%,45%,49%,-4%,56%,43%,13%,57%,42%,16%,1.14,90.7%,3.3%,3.5%,1.1%,"$53,724",28.1%,25.2%,64.1%,Rural-suburban mix
IA-3,"Axne, Cindy",D,R+2,R+6,R+1,49%,49%,0%,45%,49%,-4%,51%,47%,4%,52%,46%,6%,0.99,90.1%,3.4%,3.4%,1.7%,"$62,390",32.2%,29.6%,58.2%,Sparse suburban
IA-4,"Feenstra, Randy",R,R+28,R+26,R+11,36%,63%,-27%,34%,61%,-27%,45%,53%,-8%,49%,50%,-2%,1.07,93.4%,1.3%,3.2%,0.9%,"$52,799",24.1%,22.5%,69.0%,Pure rural
ID-1,"Fulcher, Russ",R,R+43,R+37,R+21,30%,67%,-37%,25%,64%,-38%,32%,65%,-33%,35%,63%,-27%,1.05,88.9%,0.4%,6.8%,1.0%,"$51,632",25.1%,23.1%,64.7%,Rural-suburban mix
ID-2,"Simpson, Mike",R,R+30,R+28,R+17,37%,60%,-24%,30%,55%,-25%,33%,64%,-31%,37%,61%,-23%,0.91,87.6%,0.7%,8.1%,1.0%,"$50,222",28.6%,26.3%,58.5%,Rural-suburban mix
IL-1,"Rush, Bobby",D,D+47,D+51,D+27,74%,25%,49%,75%,21%,54%,79%,20%,59%,81%,19%,62%,0.72,37.5%,53.0%,6.9%,1.3%,"$50,666",27.7%,13.3%,24.3%,Urban-suburban mix
IL-2,"Kelly, Robin",D,D+54,D+56,D+29,78%,21%,56%,78%,19%,59%,81%,19%,62%,81%,18%,63%,0.78,32.1%,57.3%,9.1%,0.6%,"$47,510",22.5%,8.1%,24.4%,Dense suburban
IL-3,"Newman, Marie",D,D+10,D+11,D+6,56%,43%,13%,55%,40%,15%,56%,43%,13%,58%,40%,18%,1.01,67.3%,5.5%,22.8%,3.6%,"$64,489",27.3%,20.7%,43.2%,Urban-suburban mix
IL-4,"García, Chuy",D,D+62,D+63,D+33,81%,17%,63%,82%,13%,69%,81%,17%,64%,81%,18%,62%,0.85,32.9%,5.6%,56.4%,4.2%,"$49,321",23.0%,13.1%,14.2%,Pure urban
IL-5,"Quigley, Mike",D,D+43,D+38,D+20,72%,26%,46%,71%,24%,47%,66%,32%,34%,70%,29%,41%,0.83,74.0%,3.1%,15.0%,6.2%,"$78,227",53.4%,42.7%,29.2%,Pure urban
IL-6,"Casten, Sean",D,D+7,R+2,R+2,55%,43%,13%,50%,43%,7%,45%,53%,-8%,51%,47%,4%,0.99,83.0%,2.5%,6.3%,7.2%,"$96,460",51.5%,41.9%,37.6%,Sparse suburban
IL-7,"Davis, Danny",D,D+72,D+73,D+38,86%,12%,74%,87%,9%,78%,87%,12%,75%,89%,10%,80%,0.75,33.0%,50.7%,9.9%,5.3%,"$54,112",40.8%,24.5%,8.6%,Pure urban
IL-8,"Krishnamoorthi, Raja",D,D+17,D+16,D+8,59%,39%,20%,58%,36%,22%,57%,41%,17%,62%,37%,24%,1.14,66.5%,5.0%,16.0%,11.1%,"$68,211",33.2%,20.6%,38.3%,Dense suburban
IL-9,"Schakowsky, Jan",D,D+41,D+37,D+18,71%,27%,44%,70%,25%,45%,65%,33%,32%,69%,30%,38%,0.95,71.2%,8.6%,8.0%,10.3%,"$68,686",52.7%,39.4%,28.0%,Urban-suburban mix
IL-10,"Schneider, Brad",D,D+27,D+21,D+10,64%,34%,30%,62%,33%,29%,58%,41%,16%,63%,36%,27%,1.06,70.1%,7.5%,12.8%,8.1%,"$77,213",44.2%,32.8%,30.9%,Sparse suburban
IL-11,"Foster, Bill",D,D+22,D+17,D+9,62%,36%,26%,59%,35%,24%,58%,41%,17%,61%,38%,24%,1.00,63.5%,12.3%,16.6%,6.1%,"$72,108",35.1%,24.0%,33.9%,Dense suburban
IL-12,"Bost, Mike",R,R+18,R+13,R+5,42%,56%,-14%,40%,55%,-15%,50%,48%,2%,55%,44%,11%,1.06,79.5%,16.1%,2.3%,0.8%,"$47,214",22.4%,18.9%,61.2%,Rural-suburban mix
IL-13,"Davis, Rodney",R,R+8,R+8,R+3,47%,51%,-4%,44%,50%,-6%,49%,49%,0%,55%,44%,11%,1.00,83.4%,10.2%,2.4%,1.9%,"$50,373",30.4%,25.1%,58.3%,Rural-suburban mix
IL-14,"Underwood, Lauren",D,R+3,R+10,R+5,50%,48%,2%,45%,49%,-4%,44%,54%,-10%,51%,48%,3%,1.02,85.1%,3.1%,7.4%,3.5%,"$90,082",40.0%,34.1%,48.6%,Sparse suburban
IL-15,"Miller, Mary",R,R+50,R+45,R+21,26%,72%,-46%,25%,71%,-46%,34%,64%,-30%,43%,55%,-13%,1.08,92.7%,4.1%,1.8%,0.4%,"$50,821",19.2%,18.2%,74.5%,Pure rural
IL-16,"Kinzinger, Adam",R,R+20,R+18,R+8,41%,57%,-16%,38%,56%,-17%,45%,53%,-8%,50%,48%,2%,1.09,88.5%,3.7%,5.7%,1.0%,"$58,129",21.9%,19.7%,68.2%,Rural-suburban mix
IL-17,"Bustos, Cheri",D,R+5,D+1,D+3,48%,50%,-2%,47%,47%,-1%,58%,41%,17%,60%,39%,22%,0.95,82.3%,10.2%,5.4%,0.8%,"$46,751",18.9%,16.7%,64.6%,Rural-suburban mix
IL-18,"LaHood, Darin",R,R+29,R+30,R+15,37%,61%,-24%,33%,61%,-27%,37%,61%,-23%,44%,54%,-10%,0.91,92.2%,3.7%,1.9%,1.2%,"$62,337",32.2%,28.7%,62.6%,Rural-suburban mix
IN-1,"Mrvan, Frank",D,D+7,D+15,D+8,54%,45%,9%,54%,42%,13%,61%,37%,24%,63%,36%,28%,1.02,67.9%,18.3%,11.9%,0.9%,"$54,925",22.5%,17.2%,50.6%,Sparse suburban
IN-2,"Walorski, Jackie",R,R+24,R+21,R+11,39%,59%,-21%,36%,59%,-23%,42%,56%,-14%,50%,49%,0%,1.20,86.7%,6.3%,4.6%,0.8%,"$50,295",21.4%,19.2%,65.7%,Rural-suburban mix
IN-3,"Banks, Jim",R,R+34,R+33,R+18,34%,64%,-30%,30%,65%,-35%,36%,63%,-27%,43%,56%,-13%,0.99,88.5%,5.7%,3.2%,1.2%,"$51,784",22.4%,20.3%,66.8%,Rural-suburban mix
IN-4,"Baird, Jim",R,R+34,R+32,R+17,34%,64%,-30%,30%,64%,-34%,37%,61%,-24%,45%,54%,-10%,0.99,91.1%,3.6%,2.9%,1.2%,"$55,420",25.5%,22.6%,66.5%,Rural-suburban mix
IN-5,"Spartz, Victoria",R,R+8,R+15,R+9,48%,50%,-2%,41%,53%,-12%,41%,58%,-17%,47%,53%,-6%,1.02,86.0%,8.1%,2.4%,2.0%,"$67,341",44.9%,38.5%,45.8%,Sparse suburban
IN-6,"Pence, Greg",R,R+43,R+36,R+18,29%,69%,-40%,27%,68%,-40%,37%,60%,-23%,44%,55%,-11%,1.14,94.3%,2.6%,1.4%,0.5%,"$50,994",20.8%,18.9%,74.4%,Pure rural
IN-7,"Carson, Andre",D,D+23,D+23,D+11,63%,35%,28%,59%,36%,23%,63%,35%,28%,66%,33%,34%,1.06,63.0%,29.6%,4.0%,1.3%,"$41,211",22.8%,16.4%,43.3%,Dense suburban
IN-8,"Bucshon, Larry",R,R+35,R+30,R+15,33%,65%,-32%,31%,65%,-34%,40%,58%,-19%,48%,51%,-3%,1.07,92.7%,3.9%,1.3%,0.6%,"$49,193",20.6%,19.2%,73.3%,Rural-suburban mix
IN-9,"Hollingsworth, Trey",R,R+27,R+25,R+13,37%,61%,-24%,34%,61%,-27%,41%,57%,-17%,46%,53%,-7%,0.91,93.0%,2.6%,1.9%,1.0%,"$53,862",25.9%,23.4%,68.6%,Rural-suburban mix
KS-1,"Mann, Tracey",R,R+47,R+45,R+24,28%,70%,-42%,24%,69%,-45%,28%,70%,-43%,31%,67%,-36%,1.01,85.3%,3.1%,8.6%,1.0%,"$49,608",24.3%,21.9%,60.3%,Pure rural
KS-2,"LaTurner, Jake",R,R+20,R+17,R+10,41%,56%,-15%,37%,56%,-18%,42%,56%,-14%,45%,53%,-8%,1.04,86.5%,4.6%,4.4%,0.8%,"$52,031",28.4%,25.3%,61.1%,Pure rural
KS-3,"Davids, Sharice",D,D+4,R+3,R+4,54%,44%,11%,47%,46%,1%,44%,54%,-10%,49%,50%,-1%,0.96,81.1%,8.6%,5.6%,2.7%,"$71,268",46.5%,39.7%,37.0%,Dense suburban
KS-4,"Estes, Ron",R,R+27,R+27,R+15,38%,60%,-22%,33%,60%,-27%,36%,62%,-26%,40%,59%,-19%,1.08,81.0%,6.6%,7.1%,2.5%,"$52,955",28.9%,25.0%,54.3%,Sparse suburban
KY-1,"Comer, James",R,R+48,R+40,R+23,26%,73%,-48%,24%,72%,-49%,32%,66%,-34%,37%,62%,-25%,1.00,90.0%,7.0%,1.6%,0.3%,"$40,902",16.2%,14.8%,75.3%,Pure rural
KY-2,"Guthrie, Brett",R,R+38,R+32,R+19,31%,68%,-37%,28%,68%,-40%,35%,63%,-28%,37%,62%,-24%,0.90,90.5%,5.4%,1.7%,0.7%,"$48,902",19.9%,18.0%,72.2%,Pure rural
KY-3,"Yarmuth, John",D,D+20,D+18,D+6,60%,38%,22%,55%,40%,15%,56%,43%,13%,56%,43%,13%,0.88,74.1%,20.4%,2.4%,1.5%,"$51,316",31.4%,25.4%,47.3%,Dense suburban
KY-4,"Massie, Thomas",R,R+33,R+30,R+18,33%,65%,-31%,29%,65%,-36%,35%,63%,-29%,37%,62%,-25%,0.93,93.2%,3.3%,1.4%,0.7%,"$59,478",27.2%,25.3%,66.8%,Rural-suburban mix
KY-5,"Rogers, Hal",R,R+61,R+55,R+31,19%,80%,-62%,18%,80%,-62%,23%,75%,-52%,32%,67%,-35%,1.11,96.6%,1.5%,0.7%,0.2%,"$31,899",12.9%,12.4%,84.1%,Pure rural
KY-6,"Barr, Andy",R,R+11,R+11,R+9,45%,54%,-9%,39%,55%,-15%,42%,56%,-14%,45%,54%,-9%,0.93,87.3%,8.4%,1.7%,0.9%,"$50,452",30.8%,27.1%,58.1%,Rural-suburban mix
LA-1,"Scalise, Steve",R,R+41,R+43,R+24,30%,68%,-38%,27%,69%,-42%,27%,71%,-44%,25%,73%,-47%,0.98,77.5%,13.0%,5.5%,1.6%,"$57,771",29.7%,24.7%,51.2%,Rural-suburban mix
LA-2,"Carter, Troy",D,D+51,D+52,D+25,75%,23%,52%,75%,22%,52%,76%,23%,53%,73%,25%,48%,0.81,31.5%,61.7%,3.7%,2.0%,"$38,507",22.8%,11.7%,20.8%,Dense suburban
LA-3,"Higgins, Clay",R,R+39,R+37,R+20,30%,68%,-38%,29%,67%,-38%,32%,66%,-34%,34%,64%,-30%,0.89,71.7%,23.7%,2.1%,1.0%,"$48,130",20.9%,17.1%,54.5%,Rural-suburban mix
LA-4,"Johnson, Mike",R,R+26,R+23,R+13,37%,62%,-25%,37%,61%,-24%,40%,59%,-19%,40%,59%,-19%,1.01,61.6%,33.2%,2.6%,0.7%,"$41,017",19.9%,14.3%,48.0%,Pure rural
LA-5,"Letlow, Julia",R,R+31,R+28,R+15,34%,65%,-30%,34%,64%,-29%,38%,61%,-23%,37%,62%,-25%,0.77,62.9%,34.2%,1.4%,0.4%,"$36,731",17.6%,13.3%,50.8%,Pure rural
LA-6,"Graves, Garret",R,R+32,R+34,R+19,34%,64%,-29%,31%,65%,-34%,32%,66%,-34%,31%,68%,-37%,0.95,71.9%,22.6%,2.5%,1.5%,"$61,097",28.9%,21.9%,49.4%,Rural-suburban mix
MA-1,"Neal, Richard",D,D+24,D+21,D+12,61%,37%,24%,57%,37%,21%,64%,34%,30%,64%,34%,30%,1.26,78.2%,5.6%,14.0%,1.4%,"$55,577",29.2%,25.6%,53.1%,Sparse suburban
MA-2,"McGovern, Jim",D,D+25,D+17,D+9,62%,36%,26%,56%,37%,19%,59%,39%,20%,60%,38%,23%,1.21,84.4%,3.9%,7.3%,3.4%,"$66,319",37.9%,32.0%,50.0%,Rural-suburban mix
MA-3,"Trahan, Lori",D,D+28,D+18,D+9,63%,35%,29%,58%,35%,23%,57%,41%,16%,59%,39%,19%,1.20,76.0%,3.0%,14.4%,5.8%,"$74,586",37.5%,30.2%,42.4%,Sparse suburban
MA-4,"Auchincloss, Jake",D,D+30,D+19,D+9,65%,34%,31%,59%,35%,24%,57%,41%,16%,60%,38%,23%,1.23,88.5%,2.6%,3.4%,3.9%,"$95,353",50.3%,43.1%,43.7%,Sparse suburban
MA-5,"Clark, Katherine",D,D+50,D+37,D+18,75%,24%,51%,69%,26%,44%,65%,33%,32%,66%,32%,34%,0.92,80.9%,4.2%,6.0%,7.3%,"$90,564",56.0%,43.7%,31.8%,Urban-suburban mix
MA-6,"Moulton, Seth",D,D+25,D+13,D+6,63%,36%,27%,56%,38%,18%,55%,44%,11%,57%,41%,16%,1.24,88.3%,2.6%,5.2%,3.0%,"$84,446",43.6%,38.7%,46.7%,Sparse suburban
MA-7,"Pressley, Ayanna",D,D+74,D+68,D+34,85%,13%,72%,84%,12%,72%,83%,16%,67%,82%,17%,65%,0.92,51.9%,24.5%,14.4%,7.7%,"$59,649",43.1%,28.1%,16.8%,Pure urban
MA-8,"Lynch, Stephen",D,D+33,D+20,D+10,66%,32%,34%,60%,34%,26%,58%,41%,17%,58%,41%,17%,1.14,80.0%,8.0%,4.5%,5.6%,"$83,928",45.9%,37.5%,39.3%,Dense suburban
MA-9,"Keating, Bill",D,D+17,D+8,D+4,58%,40%,18%,53%,42%,11%,56%,43%,12%,58%,41%,17%,1.24,90.3%,2.3%,3.4%,1.0%,"$67,064",34.3%,32.1%,57.4%,Sparse suburban
MD-1,"Harris, Andy",R,R+28,R+30,R+14,39%,59%,-20%,33%,62%,-29%,38%,60%,-23%,38%,60%,-21%,0.97,83.6%,11.5%,2.0%,1.6%,"$71,900",31.0%,26.9%,56.2%,Rural-suburban mix
MD-2,"Ruppersberger, Dutch",D,D+26,D+22,D+11,66%,32%,33%,60%,36%,24%,63%,35%,28%,61%,38%,23%,0.87,57.9%,32.5%,3.7%,3.8%,"$66,387",31.5%,17.5%,38.5%,Dense suburban
MD-3,"Sarbanes, John",D,D+32,D+25,D+13,69%,29%,39%,63%,32%,31%,61%,37%,24%,60%,38%,22%,0.89,66.5%,20.9%,4.8%,5.7%,"$84,243",47.3%,32.8%,30.4%,Dense suburban
MD-4,"Brown, Anthony",D,D+54,D+54,D+28,79%,19%,60%,77%,20%,58%,78%,21%,57%,77%,22%,56%,0.85,31.4%,58.2%,5.9%,2.7%,"$79,163",32.8%,13.4%,15.0%,Dense suburban
MD-5,"Hoyer, Steny",D,D+32,D+29,D+16,69%,30%,39%,64%,32%,32%,66%,32%,34%,65%,34%,32%,0.83,50.6%,39.3%,4.4%,3.3%,"$95,144",34.5%,17.3%,31.0%,Sparse suburban
MD-6,"Trone, David",D,D+16,D+11,D+6,61%,38%,23%,55%,40%,15%,55%,43%,12%,56%,42%,14%,0.95,68.5%,12.9%,7.8%,9.0%,"$77,595",41.9%,26.4%,36.9%,Sparse suburban
MD-7,"Mfume, Kweisi",D,D+53,D+52,D+26,78%,20%,58%,76%,20%,56%,76%,22%,54%,76%,22%,54%,0.65,36.6%,54.6%,2.3%,4.7%,"$60,903",37.7%,20.9%,15.1%,Urban-suburban mix
MD-8,"Raskin, Jamie",D,D+34,D+28,D+14,69%,29%,40%,65%,31%,34%,62%,36%,26%,63%,36%,27%,0.81,70.3%,11.5%,8.2%,8.1%,"$100,728",54.4%,38.4%,25.2%,Dense suburban
ME-1,"Pingree, Chellie",D,D+18,D+13,D+8,60%,37%,23%,54%,39%,15%,60%,38%,21%,61%,38%,23%,1.22,95.2%,0.9%,1.3%,1.1%,"$60,757",36.9%,35.3%,59.6%,Rural-suburban mix
ME-2,"Golden, Jared",D,R+11,R+8,R+2,45%,52%,-8%,41%,51%,-10%,53%,44%,9%,55%,43%,11%,1.16,95.9%,0.5%,1.0%,0.4%,"$46,534",23.4%,22.4%,73.4%,Pure rural
MI-1,"Bergman, Jack",R,R+22,R+14,R+9,41%,58%,-17%,37%,58%,-21%,45%,54%,-8%,50%,48%,1%,1.16,92.7%,1.7%,1.2%,0.4%,"$46,722",24.6%,23.6%,69.4%,Pure rural
MI-2,"Huizenga, Bill",R,R+17,R+13,R+9,43%,55%,-12%,38%,56%,-18%,43%,56%,-13%,48%,50%,-2%,1.09,85.0%,6.0%,5.6%,1.5%,"$52,919",25.4%,22.9%,60.8%,Rural-suburban mix
MI-3,"Meijer, Peter",R,R+9,R+6,R+6,47%,51%,-3%,42%,52%,-9%,46%,53%,-7%,50%,49%,1%,1.10,85.3%,8.1%,3.8%,1.1%,"$56,063",30.7%,27.7%,56.2%,Rural-suburban mix
MI-4,"Moolenaar, John",R,R+27,R+17,R+10,37%,61%,-24%,35%,60%,-25%,46%,54%,-8%,50%,49%,1%,1.22,93.3%,1.9%,2.4%,0.5%,"$47,910",21.4%,19.9%,73.8%,Pure rural
MI-5,"Kildee, Dan",D,D+1,D+13,D+5,51%,47%,4%,50%,46%,4%,61%,38%,22%,63%,35%,28%,1.07,77.3%,16.3%,3.9%,0.7%,"$43,583",19.3%,16.1%,62.2%,Sparse suburban
MI-6,"Upton, Fred",R,R+9,R+3,R+4,47%,51%,-5%,43%,51%,-8%,49%,50%,-1%,53%,45%,8%,1.08,85.6%,7.6%,3.5%,1.0%,"$51,189",27.3%,24.0%,61.4%,Rural-suburban mix
MI-7,"Walberg, Tim",R,R+19,R+10,R+7,41%,57%,-16%,39%,56%,-17%,48%,51%,-3%,51%,47%,3%,1.08,90.4%,4.2%,3.2%,0.6%,"$56,536",23.8%,21.7%,68.7%,Pure rural
MI-8,"Slotkin, Elissa",D,R+6,R+3,R+4,49%,50%,-1%,44%,51%,-7%,48%,51%,-3%,52%,46%,6%,1.04,86.9%,5.2%,3.7%,2.3%,"$67,499",40.2%,34.3%,51.5%,Sparse suburban
MI-9,"Levin, Andy",D,D+8,D+13,D+4,56%,43%,13%,52%,44%,8%,57%,42%,15%,58%,40%,18%,1.06,81.2%,12.0%,1.8%,3.0%,"$55,369",29.7%,24.6%,57.0%,Dense suburban
MI-10,"McClain, Lisa",R,R+34,R+23,R+13,34%,64%,-30%,32%,64%,-32%,44%,55%,-12%,48%,50%,-2%,1.06,92.3%,2.9%,2.1%,1.2%,"$61,055",23.1%,21.0%,71.1%,Rural-suburban mix
MI-11,"Stevens, Haley",D,R+2,R+2,R+4,52%,47%,5%,45%,50%,-4%,47%,52%,-5%,50%,48%,2%,1.05,85.5%,5.4%,2.1%,5.4%,"$79,781",46.6%,36.2%,45.6%,Sparse suburban
MI-12,"Dingell, Debbie",D,D+25,D+31,D+14,64%,34%,30%,61%,35%,26%,66%,33%,33%,67%,31%,36%,1.02,79.5%,10.5%,4.3%,3.2%,"$56,293",34.0%,26.3%,52.5%,Dense suburban
MI-13,"Tlaib, Rashida",D,D+56,D+65,D+32,79%,20%,59%,79%,18%,61%,85%,14%,71%,85%,14%,71%,0.84,37.0%,56.4%,3.9%,0.8%,"$33,455",15.0%,6.9%,30.7%,Dense suburban
