District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
MI-14,"Lawrence, Brenda",D,D+57,D+63,D+30,80%,20%,60%,79%,18%,61%,81%,19%,62%,82%,17%,65%,0.84,33.4%,58.8%,2.9%,2.6%,"$44,197",30.3%,16.0%,18.6%,Dense suburban
MN-1,"Hagedorn, Jim",R,R+15,R+12,R+5,44%,54%,-10%,38%,53%,-15%,50%,48%,1%,51%,47%,4%,1.15,92.4%,2.0%,2.9%,1.5%,"$59,989",27.8%,25.6%,64.3%,Rural-suburban mix
MN-2,"Craig, Angie",D,D+1,R+3,R+2,52%,46%,7%,45%,47%,-1%,49%,49%,0%,51%,48%,3%,1.10,87.9%,3.5%,3.1%,3.6%,"$80,403",38.2%,34.1%,51.8%,Sparse suburban
MN-3,"Phillips, Dean",D,D+13,D+4,D+1,59%,39%,19%,51%,41%,9%,50%,49%,1%,51%,47%,4%,0.90,86.2%,5.1%,1.9%,5.0%,"$85,012",48.2%,41.7%,41.3%,Sparse suburban
MN-4,"McCollum, Betty",D,D+32,D+28,D+14,68%,31%,37%,62%,31%,31%,63%,36%,27%,63%,36%,27%,1.00,77.6%,8.0%,3.8%,8.0%,"$66,041",42.9%,36.2%,38.8%,Dense suburban
MN-5,"Omar, Ilhan",D,D+57,D+51,D+26,80%,18%,63%,74%,19%,55%,74%,24%,50%,73%,25%,49%,0.81,74.8%,13.3%,3.5%,4.4%,"$58,693",44.7%,37.7%,33.0%,Urban-suburban mix
MN-6,"Emmer, Tom",R,R+25,R+24,R+12,39%,59%,-20%,33%,59%,-26%,42%,57%,-15%,43%,55%,-12%,1.02,93.2%,1.8%,1.6%,1.8%,"$76,698",29.6%,27.6%,64.9%,Rural-suburban mix
MN-7,"Fischbach, Michelle",R,R+33,R+26,R+12,34%,64%,-29%,31%,62%,-31%,44%,54%,-10%,47%,50%,-3%,1.11,93.1%,0.8%,2.3%,0.5%,"$54,863",21.8%,20.8%,71.6%,Pure rural
MN-8,"Stauber, Pete",R,R+18,R+11,R+4,42%,56%,-15%,39%,54%,-16%,52%,46%,6%,53%,45%,9%,1.04,93.8%,0.9%,1.2%,0.5%,"$53,950",23.0%,22.1%,72.0%,Pure rural
MO-1,"Bush, Cori",D,D+56,D+54,D+29,80%,18%,62%,77%,19%,58%,80%,19%,61%,80%,19%,62%,0.76,46.3%,47.9%,1.9%,1.7%,"$43,445",31.1%,20.1%,26.6%,Dense suburban
MO-2,"Wagner, Ann",R,R+8,R+17,R+8,49%,49%,0%,42%,53%,-10%,41%,57%,-16%,46%,53%,-6%,0.89,90.7%,3.7%,1.6%,2.7%,"$79,339",48.8%,43.2%,46.0%,Dense suburban
MO-3,"Luetkemeyer, Blaine",R,R+41,R+40,R+18,31%,67%,-36%,28%,67%,-39%,36%,62%,-26%,43%,56%,-13%,1.10,93.2%,3.2%,1.6%,0.6%,"$60,476",25.3%,23.3%,69.7%,Rural-suburban mix
MO-4,"Hartzler, Vicki",R,R+39,R+37,R+17,32%,66%,-34%,29%,65%,-36%,36%,61%,-25%,42%,57%,-15%,1.11,89.5%,4.6%,2.6%,0.9%,"$48,015",24.7%,22.0%,67.6%,Pure rural
MO-5,"Cleaver, Emanuel",D,D+12,D+10,D+7,58%,40%,19%,54%,41%,14%,59%,39%,20%,62%,37%,25%,0.94,70.5%,21.0%,4.9%,1.3%,"$48,178",27.2%,21.9%,47.5%,Dense suburban
MO-6,"Graves, Sam",R,R+34,R+34,R+16,35%,63%,-28%,32%,63%,-31%,38%,60%,-22%,43%,55%,-12%,1.02,90.7%,3.9%,2.8%,0.8%,"$57,614",27.4%,25.0%,65.3%,Rural-suburban mix
MO-7,"Long, Billy",R,R+48,R+48,R+23,28%,70%,-42%,25%,70%,-46%,30%,68%,-37%,35%,63%,-28%,0.93,92.2%,1.7%,2.5%,0.8%,"$44,601",24.0%,22.4%,68.9%,Rural-suburban mix
MO-8,"Smith, Jason",R,R+60,R+53,R+24,21%,77%,-56%,21%,75%,-54%,32%,66%,-34%,38%,60%,-22%,1.08,92.4%,4.4%,1.3%,0.2%,"$40,529",15.7%,14.7%,77.8%,Pure rural
MS-1,"Kelly, Trent",R,R+35,R+29,R+16,34%,65%,-31%,32%,65%,-33%,37%,62%,-25%,37%,62%,-26%,0.85,70.5%,26.9%,1.5%,0.5%,"$44,819",19.9%,15.8%,54.8%,Pure rural
MS-2,"Thompson, Bennie",D,D+25,D+31,D+14,64%,35%,29%,64%,35%,29%,66%,33%,33%,64%,35%,29%,0.97,33.7%,64.2%,1.1%,0.3%,"$34,074",18.7%,8.7%,26.5%,Pure rural
MS-3,"Guest, Michael",R,R+26,R+22,R+13,39%,60%,-22%,37%,61%,-25%,39%,60%,-21%,38%,61%,-22%,0.73,62.7%,34.2%,1.1%,0.6%,"$44,530",25.6%,19.3%,43.7%,Pure rural
MS-4,"Palazzo, Steven",R,R+42,R+39,R+21,30%,68%,-38%,28%,69%,-41%,31%,68%,-36%,31%,68%,-37%,0.92,72.5%,22.5%,2.4%,1.1%,"$44,782",20.9%,16.6%,56.1%,Rural-suburban mix
MT-1,"Rosendale, Matt",R,R+20,R+18,R+11,41%,57%,-16%,36%,57%,-21%,42%,55%,-14%,47%,50%,-2%,0.95,89.3%,0.4%,2.7%,0.5%,"$50,801",30.7%,28.8%,61.0%,Pure rural
NC-1,"Butterfield, G.K.",D,D+7,D+11,,54%,45%,9%,55%,44%,11%,57%,42%,15%,57%,43%,14%,,,,,,,,,,
NC-2,"Ross, Deborah",D,D+26,D+20,,64%,34%,30%,60%,36%,24%,57%,42%,15%,59%,41%,18%,,,,,,,,,,
NC-3,"Murphy, Greg",R,R+26,R+23,,38%,61%,-23%,37%,61%,-25%,41%,59%,-18%,43%,57%,-15%,,,,,,,,,,
NC-4,"Price, David",D,D+31,D+30,,67%,32%,34%,65%,32%,33%,63%,36%,28%,65%,35%,30%,,,,,,,,,,
NC-5,"Foxx, Virginia",R,R+39,R+35,,32%,67%,-36%,30%,67%,-37%,36%,63%,-28%,38%,62%,-24%,,,,,,,,,,
NC-6,"Manning, Kathy",D,D+21,D+19,,62%,37%,24%,59%,38%,22%,58%,41%,18%,60%,40%,20%,,,,,,,,,,
NC-7,"Rouzer, David",R,R+21,R+19,,41%,58%,-17%,39%,59%,-20%,42%,57%,-15%,44%,56%,-12%,,,,,,,,,,
NC-8,"Hudson, Richard",R,R+10,R+8,,46%,53%,-6%,44%,53%,-9%,47%,52%,-5%,48%,52%,-4%,,,,,,,,,,
NC-9,"Bishop, Dan",R,R+11,R+11,,46%,53%,-8%,43%,54%,-10%,44%,55%,-11%,46%,54%,-8%,,,,,,,,,,
NC-10,"McHenry, Patrick",R,R+40,R+37,,31%,68%,-37%,30%,68%,-38%,34%,65%,-31%,37%,62%,-25%,,,,,,,,,,
NC-11,"Cawthorn, Madison",R,R+16,R+16,,43%,55%,-12%,40%,57%,-17%,44%,55%,-12%,46%,53%,-8%,,,,,,,,,,
NC-12,"Adams, Alma",D,D+38,D+36,,70%,29%,42%,67%,30%,38%,67%,33%,34%,67%,33%,35%,,,,,,,,,,
NC-13,"Budd, Ted",R,R+38,R+35,,32%,67%,-35%,31%,67%,-36%,34%,65%,-30%,37%,62%,-25%,,,,,,,,,,
ND-1,"Armstrong, Kelly",R,R+37,R+34,R+16,32%,66%,-34%,28%,64%,-36%,39%,59%,-20%,45%,53%,-9%,1.10,89.6%,1.6%,2.4%,0.6%,"$61,285",28.9%,26.6%,62.4%,Rural-suburban mix
NE-1,"Fortenberry, Jeff",R,R+21,R+21,R+11,41%,56%,-15%,36%,58%,-21%,41%,57%,-17%,44%,54%,-10%,1.00,89.1%,2.7%,4.5%,1.6%,"$57,047",30.8%,27.9%,58.6%,Rural-suburban mix
NE-2,"Bacon, Don",R,D+0,R+5,R+4,52%,46%,7%,46%,48%,-2%,46%,53%,-7%,50%,49%,1%,1.05,81.9%,9.1%,5.4%,1.5%,"$62,572",38.9%,34.0%,44.6%,Dense suburban
NE-3,"Smith, Adrian",R,R+57,R+51,R+27,22%,76%,-53%,20%,75%,-55%,28%,70%,-42%,31%,67%,-36%,0.89,90.7%,0.9%,6.2%,0.6%,"$51,735",21.7%,20.5%,67.9%,Pure rural
NH-1,"Pappas, Chris",D,R+1,R+3,R+2,52%,46%,6%,47%,48%,-2%,50%,49%,2%,53%,46%,6%,1.26,94.2%,1.1%,2.3%,1.2%,"$72,003",37.0%,34.4%,58.5%,Rural-suburban mix
NH-2,"Kuster, Annie",D,D+2,D+2,D+2,54%,45%,9%,49%,46%,2%,54%,45%,10%,56%,43%,13%,1.16,93.8%,1.1%,2.4%,1.4%,"$70,531",35.1%,32.2%,60.5%,Pure rural
NJ-1,"Norcross, Donald",D,D+22,D+22,D+13,62%,37%,26%,61%,36%,25%,65%,34%,31%,65%,34%,31%,1.05,68.8%,16.9%,9.5%,3.9%,"$67,666",30.5%,22.4%,45.2%,Dense suburban
NJ-2,"Van Drew, Jeff",R,R+7,R+5,R+1,48%,51%,-3%,46%,51%,-5%,54%,45%,8%,53%,46%,8%,1.11,73.1%,12.4%,10.1%,3.1%,"$62,007",25.5%,21.1%,49.7%,Rural-suburban mix
NJ-3,"Kim, Andy",D,R+5,R+7,R+2,49%,49%,0%,45%,51%,-6%,52%,47%,5%,51%,48%,3%,1.01,79.6%,10.3%,5.8%,2.8%,"$77,540",33.2%,26.5%,52.5%,Sparse suburban
NJ-4,"Smith, Chris",R,R+15,R+18,R+8,44%,55%,-11%,41%,56%,-15%,45%,54%,-10%,45%,54%,-8%,1.07,83.0%,6.4%,6.1%,3.6%,"$80,949",39.4%,33.1%,46.5%,Sparse suburban
NJ-5,"Gottheimer, Josh",D,R+0,R+6,R+3,52%,47%,5%,48%,49%,-1%,48%,51%,-3%,49%,51%,-2%,1.03,75.7%,5.1%,10.8%,7.9%,"$98,863",46.6%,33.6%,38.6%,Dense suburban
NJ-6,"Pallone, Frank",D,D+12,D+14,D+9,57%,42%,16%,56%,41%,16%,61%,37%,24%,58%,41%,18%,1.12,58.5%,11.3%,15.2%,14.1%,"$80,087",39.1%,19.7%,32.2%,Dense suburban
NJ-7,"Malinowski, Tom",D,D+4,R+6,R+3,54%,44%,10%,49%,48%,1%,46%,53%,-6%,47%,52%,-4%,1.07,78.8%,4.9%,8.1%,7.3%,"$109,061",52.2%,39.7%,34.7%,Sparse suburban
NJ-8,"Sires, Albio",D,D+46,D+51,D+27,72%,27%,45%,76%,22%,54%,78%,21%,58%,73%,26%,47%,1.00,34.2%,11.8%,47.2%,6.4%,"$57,012",31.6%,13.9%,14.9%,Pure urban
NJ-9,"Pascrell, Bill",D,D+24,D+29,D+16,62%,37%,25%,64%,33%,31%,68%,31%,38%,64%,35%,29%,0.98,47.1%,11.8%,30.0%,10.6%,"$64,936",33.1%,16.3%,26.2%,Pure urban
NJ-10,"Payne, Donald",D,D+65,D+70,D+36,84%,15%,69%,85%,13%,72%,88%,12%,76%,85%,15%,70%,0.94,22.9%,54.8%,15.6%,5.6%,"$50,413",28.4%,10.0%,11.9%,Pure urban
NJ-11,"Sherrill, Mikie",D,D+1,R+7,R+3,53%,46%,7%,48%,49%,-1%,47%,52%,-6%,47%,52%,-5%,1.04,79.5%,3.7%,8.3%,7.6%,"$107,027",52.8%,40.5%,35.8%,Sparse suburban
NJ-12,"Watson Coleman, Bonnie",D,D+32,D+29,D+16,67%,31%,36%,65%,32%,33%,67%,32%,34%,66%,33%,32%,0.96,57.5%,18.6%,10.8%,12.2%,"$83,770",44.0%,24.3%,27.2%,Dense suburban
NM-1,"Stansbury, Melanie",D,D+18,D+15,D+7,60%,37%,23%,52%,35%,17%,55%,40%,16%,60%,39%,21%,1.04,47.5%,2.8%,42.4%,1.9%,"$49,277",32.6%,21.5%,25.1%,Dense suburban
NM-2,"Herrell, Yvette",R,R+14,R+10,R+6,43%,55%,-12%,40%,50%,-10%,45%,52%,-7%,48%,50%,-2%,1.23,45.2%,2.0%,46.1%,0.6%,"$42,508",20.6%,13.4%,30.4%,Rural-suburban mix
NM-3,"Leger Fernandez, Teresa",D,D+14,D+15,D+8,58%,40%,18%,52%,37%,15%,58%,39%,19%,61%,38%,24%,0.99,42.7%,1.5%,36.2%,0.9%,"$48,925",27.1%,18.1%,25.2%,Pure rural
NV-1,"Titus, Dina",D,D+22,D+26,D+15,62%,36%,25%,62%,33%,29%,66%,32%,33%,65%,33%,32%,0.98,46.0%,13.3%,28.3%,8.5%,"$40,225",15.2%,8.2%,30.7%,Urban-suburban mix
NV-2,"Amodei, Mark",R,R+16,R+15,R+7,44%,54%,-10%,40%,52%,-12%,45%,53%,-8%,49%,48%,1%,1.06,76.4%,2.0%,13.7%,3.5%,"$58,607",26.1%,21.6%,51.4%,Rural-suburban mix
NV-3,"Lee, Susie",D,R+5,R+5,R+2,49%,49%,0%,47%,48%,-1%,50%,49%,1%,54%,45%,9%,1.00,63.8%,6.8%,13.4%,12.2%,"$67,191",31.8%,20.6%,41.3%,Urban-suburban mix
NV-4,"Horsford, Steven",D,R+1,D+2,D+3,51%,47%,4%,50%,45%,5%,54%,44%,11%,56%,41%,15%,1.10,55.4%,15.9%,18.8%,5.9%,"$56,603",20.4%,13.1%,39.2%,Urban-suburban mix
NY-1,"Zeldin, Lee",R,R+10,R+10,R+5,47%,52%,-4%,42%,55%,-12%,50%,49%,1%,51%,48%,3%,1.01,82.3%,4.8%,9.0%,3.0%,"$90,378",35.3%,29.6%,49.9%,Sparse suburban
NY-2,"Garbarino, Andrew",R,R+8,R+7,R+3,47%,51%,-4%,44%,53%,-9%,52%,47%,4%,51%,48%,3%,1.03,71.0%,9.9%,15.5%,2.7%,"$94,336",29.9%,22.7%,43.5%,Dense suburban
NY-3,"Suozzi, Tom",D,D+6,D+3,D+1,55%,44%,10%,52%,46%,6%,51%,48%,3%,54%,46%,8%,1.05,75.7%,3.3%,7.2%,12.5%,"$108,136",52.0%,38.8%,32.6%,Dense suburban
NY-4,"Rice, Kathleen",D,D+9,D+9,D+4,56%,43%,12%,53%,44%,10%,56%,43%,14%,55%,44%,11%,0.92,65.6%,14.8%,12.8%,5.7%,"$100,387",41.4%,29.4%,31.4%,Urban-suburban mix
NY-5,"Meeks, Gregory",D,D+66,D+73,D+37,83%,16%,67%,86%,13%,73%,91%,9%,82%,86%,14%,72%,0.68,13.2%,52.4%,16.5%,12.1%,"$66,094",24.8%,4.2%,7.7%,Pure urban
NY-6,"Meng, Grace",D,D+25,D+32,D+16,62%,37%,24%,65%,32%,33%,68%,31%,37%,63%,36%,27%,1.01,43.3%,4.8%,18.2%,31.9%,"$61,648",35.7%,15.2%,21.5%,Pure urban
NY-7,"Velazquez, Nydia",D,D+66,D+75,D+38,82%,17%,65%,87%,10%,77%,88%,10%,78%,84%,15%,69%,0.81,35.4%,12.9%,36.6%,16.3%,"$52,724",32.3%,18.8%,12.0%,Pure urban
NY-8,"Jeffries, Hakeem",D,D+65,D+71,D+36,83%,17%,66%,85%,14%,71%,89%,10%,79%,86%,14%,72%,0.67,26.9%,54.2%,15.1%,4.4%,"$49,556",31.1%,13.8%,13.1%,Pure urban
NY-9,"Clarke, Yvette",D,D+63,D+68,D+34,81%,18%,64%,84%,14%,69%,85%,14%,71%,84%,15%,69%,0.56,35.1%,49.1%,10.0%,6.1%,"$53,047",36.8%,20.0%,12.7%,Pure urban
NY-10,"Nadler, Jerrold",D,D+53,D+54,D+26,76%,23%,53%,78%,19%,60%,74%,25%,49%,76%,23%,53%,0.85,67.6%,4.8%,11.0%,15.3%,"$87,826",60.4%,44.5%,19.2%,Pure urban
NY-11,"Malliotakis, Nicole",R,R+13,R+7,R+3,44%,55%,-11%,44%,54%,-10%,52%,47%,4%,48%,51%,-3%,1.12,67.1%,7.4%,13.2%,11.6%,"$69,192",34.2%,23.9%,40.2%,Pure urban
NY-12,"Maloney, Carolyn",D,D+67,D+63,D+31,84%,15%,69%,83%,14%,70%,77%,22%,55%,80%,19%,61%,0.82,70.5%,5.1%,12.3%,10.5%,"$100,828",72.0%,53.7%,13.7%,Pure urban
NY-13,"Espaillat, Adriano",D,D+77,D+85,D+43,88%,11%,77%,92%,5%,87%,95%,5%,90%,93%,6%,87%,0.77,17.5%,33.8%,47.8%,3.8%,"$39,490",30.5%,11.2%,4.7%,Pure urban
NY-14,"Ocasio-Cortez, Alexandria",D,D+48,D+57,D+29,73%,26%,47%,78%,20%,58%,81%,18%,62%,76%,23%,53%,0.85,31.3%,14.1%,40.0%,14.5%,"$54,753",25.9%,10.2%,15.7%,Pure urban
NY-15,"Torres, Ritchie",D,D+76,D+88,D+44,86%,13%,73%,94%,5%,89%,97%,3%,94%,95%,5%,90%,0.71,3.3%,36.6%,62.0%,1.8%,"$27,351",13.2%,0.7%,1.8%,Pure urban
NY-16,"Bowman, Jamaal",D,D+49,D+49,D+24,75%,24%,52%,75%,23%,53%,74%,26%,48%,73%,26%,47%,0.67,42.2%,33.0%,20.5%,4.5%,"$68,246",39.3%,22.2%,17.6%,Pure urban
NY-17,"Jones, Mondaire",D,D+17,D+17,D+7,60%,39%,20%,59%,38%,20%,57%,42%,15%,58%,41%,17%,0.77,68.9%,11.0%,14.0%,5.2%,"$95,454",45.7%,32.8%,29.2%,Sparse suburban
NY-18,"Maloney, Sean",D,R+0,R+2,R+1,52%,47%,5%,47%,49%,-2%,51%,47%,4%,52%,47%,5%,1.11,74.5%,9.5%,12.4%,2.4%,"$82,543",35.6%,28.1%,44.4%,Rural-suburban mix
NY-19,"Delgado, Anthony",D,R+4,R+4,R+2,50%,48%,2%,44%,51%,-7%,52%,46%,6%,53%,45%,8%,1.05,88.4%,4.1%,5.1%,1.1%,"$60,494",28.4%,25.6%,62.2%,Pure rural
NY-20,"Tonko, Paul",D,D+16,D+14,D+7,59%,39%,21%,54%,41%,14%,59%,39%,20%,58%,40%,18%,1.07,82.3%,8.5%,4.7%,2.8%,"$64,154",37.4%,31.7%,49.8%,Sparse suburban
NY-21,"Stefanik, Elise",R,R+14,R+9,R+4,44%,54%,-10%,40%,54%,-14%,52%,46%,6%,52%,47%,5%,1.32,91.5%,3.3%,2.8%,0.6%,"$53,402",23.2%,21.8%,70.2%,Pure rural
NY-22,"Tenney, Claudia",R,R+16,R+12,R+6,43%,55%,-12%,39%,55%,-16%,49%,49%,0%,49%,49%,0%,1.11,91.0%,3.6%,2.8%,1.5%,"$51,482",24.3%,22.4%,68.9%,Rural-suburban mix
NY-23,"Reed, Tom",R,R+15,R+12,R+6,43%,55%,-11%,40%,55%,-15%,48%,50%,-1%,50%,49%,1%,1.02,91.3%,2.9%,3.0%,1.2%,"$49,433",25.9%,23.4%,68.3%,Pure rural
NY-24,"Katko, John",R,D+4,D+6,D+3,53%,44%,9%,49%,45%,4%,57%,41%,16%,56%,42%,14%,0.98,86.4%,7.3%,3.2%,1.4%,"$55,603",30.4%,27.3%,59.1%,Rural-suburban mix
NY-25,"Morelle, Joseph",D,D+18,D+15,D+8,60%,38%,22%,56%,39%,16%,59%,39%,19%,59%,40%,19%,0.99,75.9%,14.0%,6.7%,2.2%,"$54,715",36.9%,31.7%,43.9%,Sparse suburban
NY-26,"Higgins, Brian",D,D+22,D+21,D+11,63%,36%,27%,58%,38%,20%,64%,34%,30%,63%,35%,28%,1.07,74.9%,16.8%,4.9%,1.8%,"$47,127",30.7%,25.3%,49.7%,Urban-suburban mix
NY-27,"Jacobs, Chris",R,R+21,R+22,R+11,41%,57%,-16%,35%,60%,-25%,43%,55%,-12%,44%,54%,-10%,1.17,93.5%,2.5%,1.9%,0.7%,"$63,010",29.5%,28.0%,65.3%,Pure rural
OH-1,"Chabot, Steve",R,R+8,R+8,R+5,48%,51%,-3%,45%,51%,-7%,46%,52%,-6%,47%,52%,-5%,0.95,74.2%,20.9%,1.5%,1.8%,"$55,897",33.9%,27.2%,45.6%,Sparse suburban
OH-2,"Wenstrup, Brad",R,R+18,R+16,R+9,43%,56%,-13%,40%,56%,-16%,44%,55%,-11%,44%,54%,-10%,1.07,87.9%,8.3%,1.3%,0.8%,"$54,888",31.1%,27.7%,59.8%,Rural-suburban mix
OH-3,"Beatty, Joyce",D,D+36,D+37,D+19,70%,28%,42%,67%,29%,38%,70%,29%,41%,67%,31%,36%,0.95,60.9%,30.8%,2.9%,2.2%,"$45,253",27.8%,18.8%,38.9%,Dense suburban
OH-4,"Jordan, Jim",R,R+39,R+29,R+14,31%,67%,-36%,31%,64%,-34%,42%,56%,-14%,44%,54%,-11%,1.11,90.2%,5.1%,2.6%,0.5%,"$51,697",17.6%,16.0%,74.4%,Rural-suburban mix
OH-5,"Latta, Bob",R,R+29,R+22,R+11,37%,62%,-25%,35%,60%,-25%,44%,54%,-10%,46%,52%,-6%,1.01,91.5%,2.7%,3.9%,0.8%,"$56,458",25.9%,23.8%,67.7%,Rural-suburban mix
OH-6,"Johnson, Bill",R,R+49,R+34,R+16,27%,72%,-46%,27%,69%,-43%,43%,55%,-13%,45%,53%,-8%,1.12,95.3%,2.4%,0.8%,0.3%,"$46,048",15.9%,15.2%,80.3%,Pure rural
OH-7,"Gibbs, Bob",R,R+35,R+25,R+12,33%,65%,-32%,33%,63%,-30%,44%,54%,-10%,47%,51%,-4%,1.04,93.1%,3.8%,1.3%,0.4%,"$52,532",19.9%,18.7%,74.2%,Rural-suburban mix
OH-8,"Davidson, Warren",R,R+38,R+33,R+17,33%,66%,-34%,31%,65%,-35%,36%,62%,-26%,38%,60%,-22%,1.03,90.0%,5.6%,1.7%,1.1%,"$55,913",23.9%,21.1%,67.9%,Rural-suburban mix
OH-9,"Kaptur, Marcy",D,D+16,D+25,D+14,59%,40%,19%,59%,37%,22%,68%,31%,37%,67%,32%,35%,1.02,73.6%,15.3%,8.5%,0.8%,"$42,346",21.8%,18.4%,56.2%,Dense suburban
OH-10,"Turner, Michael",R,R+9,R+7,R+4,47%,51%,-4%,44%,51%,-7%,48%,50%,-2%,49%,49%,0%,0.94,78.6%,16.5%,1.7%,1.3%,"$50,316",29.1%,23.7%,54.7%,Sparse suburban
OH-11,"Brown, Shontel",D,D+57,D+62,D+32,80%,19%,61%,81%,17%,64%,83%,17%,66%,82%,17%,65%,0.89,41.3%,52.2%,3.4%,1.5%,"$35,930",26.7%,17.3%,24.5%,Urban-suburban mix
OH-12,"Balderson, Troy",R,R+12,R+13,R+7,46%,52%,-6%,42%,53%,-11%,44%,54%,-11%,45%,54%,-9%,0.99,89.8%,4.4%,1.8%,2.1%,"$69,159",40.3%,34.9%,53.3%,Sparse suburban
OH-13,"Ryan, Tim",D,D+0,D+12,D+7,51%,48%,3%,51%,45%,7%,63%,35%,28%,62%,36%,27%,1.00,84.5%,10.9%,2.3%,0.6%,"$43,753",22.4%,19.9%,64.7%,Sparse suburban
OH-14,"Joyce, David",R,R+14,R+10,R+5,45%,54%,-9%,42%,54%,-12%,48%,51%,-3%,49%,49%,0%,1.01,91.7%,4.4%,1.6%,1.3%,"$64,870",34.3%,31.1%,60.0%,Sparse suburban
OH-15,"Carey, Mike",R,R+19,R+14,R+7,42%,56%,-14%,40%,55%,-15%,46%,52%,-6%,46%,52%,-6%,0.98,91.8%,3.9%,1.4%,1.4%,"$61,004",31.0%,27.6%,63.4%,Rural-suburban mix
OH-16,"Gonzalez, Anthony",R,R+19,R+16,R+8,42%,57%,-14%,40%,56%,-17%,45%,53%,-8%,47%,51%,-4%,1.13,93.7%,2.0%,1.7%,1.5%,"$64,625",33.0%,30.3%,62.9%,Sparse suburban
OK-1,"Hern, Kevin",R,R+28,R+28,R+17,37%,60%,-23%,33%,61%,-29%,34%,66%,-32%,36%,64%,-28%,1.01,73.5%,8.5%,4.7%,1.7%,"$52,927",29.7%,23.8%,47.6%,Sparse suburban
OK-2,"Mullin, Markwayne",R,R+56,R+43,R+24,22%,76%,-54%,23%,73%,-50%,32%,68%,-36%,34%,66%,-31%,0.92,69.8%,3.5%,2.7%,0.4%,"$41,089",16.8%,12.6%,58.3%,Pure rural
OK-3,"Lucas, Frank",R,R+55,R+49,R+27,23%,75%,-51%,21%,74%,-53%,26%,74%,-48%,27%,73%,-46%,0.97,80.2%,3.9%,5.5%,0.9%,"$50,439",22.5%,19.0%,60.1%,Pure rural
OK-4,"Cole, Tom",R,R+38,R+34,R+20,32%,66%,-34%,28%,66%,-37%,33%,67%,-34%,34%,66%,-32%,1.05,76.0%,6.7%,5.7%,1.8%,"$54,310",24.8%,19.6%,56.7%,Rural-suburban mix
OK-5,"Bice, Stephanie",R,R+11,R+13,R+10,46%,51%,-5%,40%,53%,-13%,41%,59%,-18%,41%,59%,-18%,0.89,67.9%,14.0%,7.2%,2.3%,"$49,560",30.1%,23.2%,41.4%,Dense suburban
OR-1,"Bonamici, Suzanne",D,D+23,D+17,D+9,63%,34%,29%,57%,35%,23%,57%,40%,17%,60%,38%,22%,1.09,81.6%,1.6%,7.6%,5.4%,"$70,350",40.2%,31.8%,44.8%,Dense suburban
OR-2,"Bentz, Cliff",R,R+19,R+23,R+11,42%,56%,-14%,36%,57%,-20%,41%,57%,-16%,43%,54%,-11%,1.03,87.2%,0.6%,7.2%,0.9%,"$48,797",24.2%,22.2%,62.9%,Rural-suburban mix
OR-3,"Blumenauer, Earl",D,D+46,D+44,D+24,74%,24%,51%,71%,23%,48%,72%,25%,47%,73%,24%,49%,0.87,79.5%,4.7%,6.1%,5.5%,"$60,395",39.8%,33.6%,42.8%,Urban-suburban mix
OR-4,"DeFazio, Peter",D,R+1,R+2,EVEN,51%,47%,4%,46%,46%,0%,52%,45%,7%,54%,43%,12%,1.02,89.0%,0.7%,4.6%,1.4%,"$46,558",26.5%,23.6%,64.6%,Rural-suburban mix
OR-5,"Schrader, Kurt",D,D+4.2,D+0.1,EVEN,54%,44%,10%,48%,44%,4%,51%,47%,3%,53%,44%,9%,1.00,84.5%,1.0%,8.4%,2.3%,"$59,704",30.0%,26.4%,54.8%,Dense suburban
