District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
PA-1,"Fitzpatrick, Brian",R,D+1,R+1,R+1,52%,47%,6%,49%,47%,2%,50%,49%,2%,54%,45%,9%,0.99,,,,,,,,,Sparse suburban
PA-2,"Boyle, Brendan",D,D+40,D+48,D+25,70%,29%,41%,73%,25%,48%,77%,22%,56%,73%,26%,47%,0.85,,,,,,,,,Pure urban
PA-3,"Evans, Dwight",D,D+80,D+81,D+41,91%,8%,83%,91%,7%,84%,92%,8%,84%,92%,8%,84%,0.49,,,,,,,,,Pure urban
PA-4,"Dean, Madeleine",D,D+19,D+15,D+7,62%,37%,24%,58%,39%,19%,56%,43%,13%,60%,40%,20%,1.05,,,,,,,,,Sparse suburban
PA-5,"Scanlon, Mary Gay",D,D+27,D+25,D+13,65%,34%,31%,63%,34%,28%,63%,36%,28%,63%,36%,27%,0.88,,,,,,,,,Urban-suburban mix
PA-6,"Houlahan, Chrissy",D,D+10,D+5,D+2,57%,42%,15%,53%,43%,9%,51%,48%,3%,56%,43%,12%,0.95,,,,,,,,,Sparse suburban
PA-7,"Wild, Susan",D,D+0,D+0,D+1,52%,47%,5%,49%,48%,1%,53%,46%,7%,57%,42%,15%,1.08,,,,,,,,,Sparse suburban
PA-8,"Cartwright, Matt",D,R+9,R+5,R+1,47%,52%,-4%,44%,53%,-10%,55%,43%,12%,57%,42%,14%,1.02,,,,,,,,,Rural-suburban mix
PA-9,"Meuser, Dan",R,R+35,R+31,R+14,34%,65%,-30%,31%,65%,-34%,41%,57%,-16%,46%,53%,-7%,1.07,,,,,,,,,Pure rural
PA-10,"Perry, Scott",R,R+8,R+11,R+6,48%,51%,-3%,43%,52%,-9%,46%,53%,-7%,49%,50%,-2%,1.03,,,,,,,,,Sparse suburban
PA-11,"Smucker, Lloyd",R,R+26,R+27,R+14,38%,60%,-22%,35%,61%,-26%,38%,61%,-23%,42%,57%,-15%,0.98,,,,,,,,,Sparse suburban
PA-12,"Keller, Fred",R,R+39,R+35,R+17,31%,67%,-36%,30%,66%,-36%,37%,62%,-25%,42%,57%,-15%,1.09,,,,,,,,,Pure rural
PA-13,"Joyce, John",R,R+48,R+45,R+22,27%,72%,-44%,26%,71%,-46%,32%,67%,-35%,37%,62%,-25%,1.00,,,,,,,,,Pure rural
PA-14,"Reschenthaler, Guy",R,R+31,R+28,R+14,36%,63%,-28%,34%,63%,-29%,41%,58%,-18%,45%,54%,-10%,1.08,,,,,,,,,Rural-suburban mix
PA-15,"Thompson, Glenn",R,R+47,R+41,R+20,28%,71%,-44%,27%,70%,-43%,36%,63%,-27%,43%,56%,-13%,1.26,,,,,,,,,Pure rural
PA-16,"Kelly, Mike",R,R+22,R+18,R+8,40%,59%,-19%,38%,58%,-20%,47%,52%,-5%,50%,49%,1%,1.08,,,,,,,,,Rural-suburban mix
PA-17,"Lamb, Conor",D,R+2,R+6,R+3,51%,48%,3%,47%,49%,-3%,47%,52%,-5%,49%,51%,-2%,0.94,,,,,,,,,Sparse suburban
PA-18,"Doyle, Michael",D,D+26,D+25,D+13,65%,34%,30%,62%,35%,28%,64%,35%,28%,63%,36%,28%,0.88,,,,,,,,,Urban-suburban mix
RI-1,"Cicilline, David",D,D+33,D+33,D+14,64%,35%,29%,61%,35%,26%,66%,32%,34%,67%,32%,35%,1.21,77.0%,7.0%,11.3%,2.4%,"$56,013",32.8%,27.1%,47.0%,Urban-suburban mix
RI-2,"Langevin, Jim",D,D+16,D+17,D+6,56%,43%,14%,51%,44%,7%,60%,38%,22%,60%,38%,22%,1.39,85.0%,3.6%,7.6%,2.1%,"$65,736",33.2%,29.5%,53.4%,Sparse suburban
SC-1,"Mace, Nancy",R,R+14,R+18,R+10,46%,52%,-6%,40%,54%,-13%,40%,58%,-18%,43%,56%,-13%,1.02,75.5%,18.3%,3.3%,1.4%,"$64,118",38.9%,33.3%,41.4%,Sparse suburban
SC-2,"Wilson, Joe",R,R+19,R+22,R+12,44%,55%,-11%,39%,56%,-18%,39%,59%,-20%,39%,60%,-20%,0.96,71.2%,23.1%,2.8%,1.3%,"$57,042",33.3%,25.9%,45.0%,Rural-suburban mix
SC-3,"Duncan, Jeff",R,R+44,R+39,R+19,31%,68%,-38%,29%,67%,-38%,34%,65%,-31%,35%,64%,-28%,0.96,77.9%,18.6%,2.0%,0.6%,"$44,345",21.0%,18.1%,58.8%,Pure rural
SC-4,"Timmons, William",R,R+28,R+29,R+15,39%,59%,-20%,35%,60%,-26%,36%,62%,-26%,38%,61%,-23%,0.87,74.2%,19.3%,3.6%,1.6%,"$51,198",30.7%,25.9%,46.5%,Sparse suburban
SC-5,"Norman, Ralph",R,R+23,R+19,R+9,41%,58%,-17%,39%,57%,-19%,44%,55%,-12%,44%,55%,-11%,0.95,68.6%,26.7%,2.3%,0.8%,"$48,044",23.2%,18.3%,50.5%,Pure rural
SC-6,"Clyburn, Jim",D,D+30,D+35,D+19,67%,32%,35%,67%,30%,37%,71%,28%,43%,70%,29%,41%,0.86,39.2%,56.6%,2.2%,0.6%,"$35,546",19.3%,10.3%,27.7%,Pure rural
SC-7,"Rice, Tom",R,R+25,R+19,R+9,40%,59%,-19%,39%,58%,-19%,44%,55%,-10%,45%,54%,-8%,1.03,68.4%,27.7%,1.7%,0.7%,"$42,536",20.8%,16.7%,51.9%,Rural-suburban mix
SD-1,"Johnson, Dusty",R,R+32,R+28,R+14,36%,62%,-26%,32%,62%,-30%,40%,58%,-18%,45%,53%,-9%,1.01,87.6%,1.1%,2.0%,0.6%,"$54,126",27.8%,25.8%,61.4%,Pure rural
TN-1,"Harshbarger, Diana",R,R+60,R+57,R+28,22%,76%,-54%,20%,77%,-57%,26%,73%,-47%,29%,70%,-41%,0.94,94.7%,2.2%,1.3%,0.4%,"$40,411",19.5%,18.3%,75.4%,Rural-suburban mix
TN-2,"Burchett, Tim",R,R+36,R+39,R+20,35%,64%,-29%,30%,65%,-35%,31%,67%,-36%,35%,64%,-30%,0.91,90.1%,5.8%,1.6%,0.9%,"$50,711",30.2%,27.2%,61.7%,Rural-suburban mix
TN-3,"Fleischmann, Chuck",R,R+38,R+36,R+18,33%,65%,-32%,30%,65%,-35%,35%,63%,-28%,37%,61%,-24%,1.01,85.5%,10.5%,1.8%,0.8%,"$45,751",22.9%,19.9%,65.0%,Rural-suburban mix
TN-4,"DesJarlais, Scott",R,R+43,R+42,R+20,31%,68%,-37%,27%,69%,-41%,33%,65%,-32%,36%,63%,-27%,1.11,85.4%,8.7%,2.6%,1.1%,"$51,166",22.6%,19.4%,64.5%,Rural-suburban mix
TN-5,"Cooper, Jim",D,D+17,D+13,D+7,60%,37%,24%,57%,38%,18%,56%,43%,13%,58%,41%,16%,0.88,68.1%,25.0%,3.2%,1.8%,"$52,985",36.7%,27.5%,38.0%,Sparse suburban
TN-6,"Rose, John",R,R+53,R+49,R+24,26%,73%,-47%,24%,73%,-49%,30%,69%,-40%,34%,65%,-31%,0.99,92.3%,4.1%,1.6%,0.6%,"$49,934",21.3%,19.4%,71.5%,Pure rural
TN-7,"Green, Mark",R,R+42,R+41,R+20,31%,67%,-36%,28%,68%,-39%,33%,66%,-33%,36%,62%,-26%,1.05,83.8%,10.1%,3.2%,1.2%,"$54,233",28.6%,24.7%,58.7%,Pure rural
TN-8,"Kustoff, David",R,R+38,R+38,R+19,33%,65%,-32%,31%,66%,-36%,33%,66%,-33%,35%,64%,-29%,1.11,76.3%,19.5%,1.8%,1.1%,"$55,777",28.9%,23.3%,53.0%,Rural-suburban mix
TN-9,"Cohen, Steve",D,D+53,D+54,D+28,79%,20%,59%,78%,20%,58%,78%,21%,57%,77%,23%,55%,0.88,28.8%,66.9%,2.0%,1.1%,"$39,067",23.6%,11.1%,17.6%,Dense suburban
TX-1,"Gohmert, Louie",R,R+50,R+51,R+25,27%,72%,-44%,25%,72%,-47%,28%,72%,-44%,30%,69%,-39%,1.01,70.7%,18.7%,8.6%,0.8%,"$47,282",20.6%,17.0%,51.5%,Pure rural
TX-2,"Crenshaw, Dan",R,R+9,R+21,R+11,49%,50%,-1%,43%,52%,-9%,36%,63%,-27%,37%,62%,-25%,0.96,58.7%,11.8%,21.0%,6.6%,"$75,989",40.8%,26.6%,26.5%,Dense suburban
TX-3,"Taylor, Van",R,R+11,R+25,R+13,49%,50%,-1%,41%,55%,-14%,34%,64%,-30%,37%,61%,-24%,1.04,68.3%,9.6%,10.0%,9.8%,"$90,604",53.2%,33.9%,28.2%,Dense suburban
TX-4,"Fallon, Pat",R,R+56,R+58,R+28,24%,74%,-50%,22%,75%,-54%,25%,74%,-49%,29%,70%,-41%,1.14,79.1%,10.8%,7.2%,0.7%,"$51,945",21.1%,17.8%,59.1%,Pure rural
TX-5,"Gooden, Lance",R,R+30,R+35,R+16,38%,61%,-23%,34%,63%,-28%,34%,65%,-30%,37%,62%,-25%,0.99,66.3%,16.2%,14.4%,1.4%,"$50,049",20.2%,15.0%,45.6%,Rural-suburban mix
TX-6,"Ellzey, Jake",R,R+11,R+20,R+9,48%,51%,-3%,42%,54%,-12%,41%,58%,-17%,42%,57%,-15%,0.98,58.6%,20.0%,15.3%,4.2%,"$64,748",29.5%,18.8%,37.2%,Dense suburban
TX-7,"Fletcher, Lizzie Pannill",D,D+1,R+12,R+7,54%,45%,9%,49%,47%,1%,39%,60%,-21%,40%,59%,-19%,1.06,55.6%,14.5%,19.1%,9.2%,"$73,591",49.2%,29.8%,18.7%,Urban-suburban mix
TX-8,"Brady, Kevin",R,R+50,R+56,R+28,28%,71%,-43%,24%,73%,-49%,22%,77%,-55%,26%,73%,-47%,1.01,73.8%,9.1%,13.2%,2.2%,"$66,893",29.9%,23.0%,46.8%,Rural-suburban mix
TX-9,"Green, Al",D,D+50,D+54,D+29,76%,23%,52%,79%,18%,61%,78%,21%,57%,76%,23%,53%,0.91,16.3%,48.1%,23.7%,11.2%,"$46,321",25.3%,6.1%,7.6%,Urban-suburban mix
TX-10,"McCaul, Michael",R,R+9,R+19,R+9,48%,50%,-2%,43%,52%,-9%,39%,59%,-20%,43%,56%,-13%,0.91,64.0%,11.6%,18.6%,4.3%,"$72,361",38.6%,27.1%,32.5%,Rural-suburban mix
TX-11,"Pfluger, August",R,R+64,R+64,R+32,20%,79%,-59%,19%,78%,-59%,20%,79%,-60%,23%,76%,-53%,0.90,64.9%,3.9%,29.3%,0.7%,"$54,570",20.7%,16.8%,46.1%,Rural-suburban mix
TX-12,"Granger, Kay",R,R+30,R+37,R+18,38%,61%,-23%,33%,63%,-30%,32%,67%,-35%,35%,64%,-29%,0.95,72.0%,8.5%,14.9%,2.7%,"$64,541",31.1%,24.1%,44.4%,Sparse suburban
TX-13,"Jackson, Ronny",R,R+66,R+68,R+33,19%,79%,-60%,17%,80%,-63%,19%,80%,-62%,22%,77%,-55%,1.04,73.1%,5.6%,18.1%,1.2%,"$50,854",20.2%,17.2%,52.8%,Rural-suburban mix
TX-14,"Weber, Randy",R,R+25,R+25,R+12,40%,59%,-19%,38%,58%,-20%,40%,59%,-20%,42%,57%,-15%,1.07,58.1%,21.1%,17.1%,2.4%,"$57,851",23.3%,16.3%,39.8%,Sparse suburban
TX-15,"Gonzalez, Vicente",D,D+2,D+11,D+7,50%,49%,2%,57%,40%,17%,57%,42%,16%,57%,42%,15%,1.14,22.4%,2.5%,73.6%,1.1%,"$42,713",19.3%,5.9%,13.3%,Sparse suburban
TX-16,"Escobar, Veronica",D,D+31,D+31,D+17,66%,32%,34%,68%,27%,41%,64%,35%,30%,64%,35%,29%,1.13,18.1%,4.6%,75.2%,1.2%,"$44,891",24.0%,6.3%,9.5%,Dense suburban
TX-17,"Sessions, Pete",R,R+18,R+25,R+12,44%,55%,-11%,39%,56%,-18%,38%,60%,-23%,41%,58%,-17%,1.00,64.8%,13.3%,17.4%,2.9%,"$51,151",29.7%,21.0%,38.7%,Rural-suburban mix
TX-18,"Jackson-Lee, Sheila",D,D+49,D+50,D+27,76%,23%,53%,77%,20%,57%,76%,23%,53%,77%,23%,54%,1.03,23.2%,46.3%,25.5%,3.9%,"$44,527",21.8%,10.0%,10.5%,Dense suburban
TX-19,"Arrington, Jodey",R,R+52,R+54,R+27,26%,72%,-46%,24%,73%,-49%,25%,74%,-49%,28%,71%,-43%,0.93,61.6%,6.3%,29.6%,1.0%,"$48,548",21.9%,17.6%,41.9%,Rural-suburban mix
TX-20,"Castro, Joaquin",D,D+23,D+18,D+10,64%,35%,29%,61%,34%,27%,59%,40%,19%,58%,41%,17%,1.14,26.1%,5.9%,64.6%,2.3%,"$50,355",24.1%,10.0%,14.6%,Dense suburban
TX-21,"Roy, Chip",R,R+10,R+20,R+10,48%,51%,-3%,43%,53%,-10%,38%,60%,-22%,42%,56%,-14%,0.85,68.7%,3.5%,23.8%,2.4%,"$67,354",45.4%,33.8%,33.4%,Dense suburban
TX-22,"Nehls, Troy",R,R+8,R+19,R+10,49%,50%,-1%,44%,52%,-8%,37%,62%,-25%,39%,60%,-21%,0.98,48.8%,14.5%,20.0%,15.1%,"$93,667",45.2%,21.0%,23.8%,Sparse suburban
TX-23,"Gonzales, Tony",R,R+5,R+4,R+1,49%,50%,-2%,50%,46%,3%,48%,51%,-3%,50%,49%,1%,1.10,31.0%,4.0%,62.7%,1.1%,"$52,162",21.5%,11.6%,17.2%,Rural-suburban mix
TX-24,"Van Duyne, Beth",R,R+4,R+17,R+9,52%,47%,5%,45%,51%,-6%,38%,60%,-22%,41%,58%,-17%,0.91,61.6%,12.4%,15.1%,8.5%,"$70,492",44.8%,26.8%,26.6%,Dense suburban
TX-25,"Williams, Roger",R,R+16,R+23,R+11,44%,54%,-10%,40%,55%,-15%,38%,60%,-22%,43%,56%,-13%,0.87,74.2%,7.3%,14.0%,2.2%,"$67,263",37.0%,29.7%,43.9%,Rural-suburban mix
TX-26,"Burgess, Michael",R,R+23,R+36,R+18,42%,56%,-14%,34%,61%,-27%,31%,68%,-37%,35%,64%,-29%,0.97,73.2%,8.0%,12.4%,4.1%,"$85,433",42.7%,31.3%,38.2%,Sparse suburban
TX-27,"Cloud, Michael",R,R+29,R+29,R+13,38%,61%,-24%,37%,60%,-24%,38%,61%,-22%,40%,59%,-19%,0.87,46.6%,5.5%,45.9%,1.1%,"$53,040",19.2%,12.5%,33.3%,Rural-suburban mix
TX-28,"Cuellar, Henry",D,D+4,D+15,D+9,52%,47%,4%,58%,39%,20%,60%,39%,22%,58%,41%,17%,1.17,23.8%,5.8%,68.5%,1.0%,"$46,733",18.0%,5.6%,15.2%,Sparse suburban
TX-29,"García, Sylvia",D,D+32,D+36,D+19,66%,33%,33%,71%,25%,46%,66%,33%,33%,62%,37%,25%,1.12,17.7%,16.5%,63.2%,2.0%,"$41,301",9.6%,2.6%,10.7%,Dense suburban
TX-30,"Johnson, Eddie Bernice",D,D+56,D+55,D+29,80%,19%,61%,79%,18%,61%,80%,20%,60%,78%,21%,57%,1.01,22.0%,52.5%,22.2%,2.0%,"$44,945",20.2%,7.9%,12.0%,Dense suburban
TX-31,"Carter, John",R,R+11,R+21,R+10,48%,50%,-3%,41%,54%,-13%,38%,60%,-21%,43%,56%,-13%,1.05,63.8%,11.6%,19.0%,3.3%,"$68,127",34.7%,24.2%,37.6%,Sparse suburban
TX-32,"Allred, Colin",D,D+2,R+10,R+5,54%,44%,10%,49%,47%,2%,42%,57%,-16%,44%,55%,-11%,0.93,62.8%,13.3%,14.4%,7.0%,"$68,084",43.2%,31.4%,25.0%,Dense suburban
TX-33,"Veasey, Marc",D,D+43,D+42,D+23,73%,26%,47%,73%,24%,49%,72%,27%,45%,69%,31%,38%,1.03,25.9%,24.8%,45.9%,2.4%,"$39,089",9.6%,4.1%,14.3%,Dense suburban
TX-34,"Vela, Filemon",D,D+5,D+16,D+10,52%,48%,4%,59%,38%,22%,61%,38%,23%,60%,39%,21%,1.34,19.6%,1.8%,77.9%,0.5%,"$37,568",15.4%,4.9%,13.1%,Rural-suburban mix
TX-35,"Doggett, Lloyd",D,D+31,D+26,D+15,68%,31%,37%,64%,31%,34%,63%,35%,28%,63%,35%,28%,1.03,34.0%,10.9%,52.5%,1.4%,"$45,959",19.9%,10.6%,19.5%,Dense suburban
TX-36,"Babin, Brian",R,R+51,R+52,R+26,27%,72%,-45%,25%,72%,-47%,26%,73%,-48%,30%,69%,-39%,0.92,71.0%,9.4%,16.3%,1.7%,"$58,115",18.7%,14.1%,53.6%,Rural-suburban mix
UT-1,"Moore, Blake",R,R+37,R+39,R+26,32%,64%,-33%,22%,50%,-27%,20%,77%,-57%,29%,68%,-38%,1.11,86.7%,1.0%,8.2%,1.3%,"$65,355",29.3%,26.9%,57.7%,Sparse suburban
UT-2,"Stewart, Chris",R,R+22,R+24,R+16,40%,56%,-16%,32%,46%,-14%,29%,68%,-39%,38%,59%,-20%,1.09,85.0%,0.9%,8.8%,1.8%,"$59,179",32.0%,28.2%,52.4%,Rural-suburban mix
UT-3,"Curtis, John",R,R+31,R+38,R+25,35%,60%,-25%,23%,47%,-24%,20%,78%,-59%,30%,68%,-38%,1.16,88.7%,0.5%,5.9%,1.3%,"$68,918",40.5%,36.5%,48.9%,Sparse suburban
UT-4,"Owens, Burgess",R,R+15,R+19,R+13,43%,52%,-9%,32%,39%,-7%,30%,67%,-37%,41%,56%,-15%,1.05,83.3%,1.3%,9.6%,2.4%,"$69,115",29.2%,24.8%,53.5%,Dense suburban
VA-1,"Wittman, Rob",R,R+11,R+10,R+8,47%,51%,-4%,41%,54%,-12%,43%,55%,-12%,44%,55%,-12%,0.91,72.6%,16.9%,5.6%,2.6%,"$83,367",35.7%,27.2%,43.8%,Rural-suburban mix
VA-2,"Luria, Elaine",D,R+2,R+1,R+3,51%,47%,5%,45%,49%,-3%,48%,51%,-2%,48%,51%,-3%,0.95,67.3%,19.8%,5.7%,4.5%,"$66,487",34.0%,25.1%,41.9%,Dense suburban
VA-3,"Scott, Bobby",D,D+31,D+35,D+16,67%,31%,36%,64%,32%,32%,68%,31%,36%,65%,34%,32%,0.95,45.8%,45.6%,4.2%,2.2%,"$52,131",25.8%,14.7%,31.6%,Dense suburban
VA-4,"McEachin, Donald",D,D+20,D+24,D+10,62%,37%,25%,59%,37%,22%,60%,39%,22%,60%,39%,21%,0.91,52.0%,41.3%,2.9%,1.6%,"$54,560",28.5%,18.9%,33.3%,Rural-suburban mix
VA-5,"Good, Bob",R,R+13,R+7,R+6,45%,54%,-9%,42%,53%,-11%,46%,53%,-7%,47%,52%,-5%,0.97,75.8%,19.8%,1.7%,1.1%,"$52,081",27.4%,23.4%,52.0%,Pure rural
VA-6,"Cline, Ben",R,R+26,R+21,R+13,39%,60%,-21%,35%,60%,-25%,40%,59%,-19%,41%,58%,-17%,1.01,84.4%,10.3%,2.6%,1.1%,"$51,875",26.9%,23.8%,59.4%,Rural-suburban mix
VA-7,"Spanberger, Abigail",D,R+5,R+5,R+6,50%,49%,1%,44%,51%,-7%,44%,55%,-11%,45%,54%,-9%,0.90,72.3%,18.7%,3.8%,3.2%,"$73,904",38.2%,29.1%,41.3%,Rural-suburban mix
VA-8,"Beyer, Don",D,D+51,D+49,D+21,78%,21%,57%,74%,21%,53%,68%,31%,37%,66%,33%,34%,0.90,63.2%,14.1%,10.5%,9.6%,"$103,414",61.5%,42.4%,13.0%,Urban-suburban mix
VA-9,"Griffith, Morgan",R,R+46,R+35,R+19,28%,70%,-42%,27%,69%,-42%,35%,63%,-28%,40%,59%,-19%,0.94,91.5%,5.4%,1.2%,0.8%,"$42,438",20.2%,18.4%,73.1%,Pure rural
VA-10,"Wexton, Jennifer",D,D+12,D+9,D+1,59%,40%,19%,52%,42%,10%,49%,50%,-1%,50%,50%,0%,1.00,71.0%,7.4%,7.7%,11.3%,"$119,874",54.9%,37.5%,27.8%,Sparse suburban
VA-11,"Connolly, Gerry",D,D+37,D+37,D+15,70%,28%,42%,67%,28%,39%,63%,36%,26%,61%,39%,22%,0.90,57.5%,13.9%,10.6%,15.1%,"$107,567",55.0%,33.1%,17.1%,Dense suburban
VT-1,"Welch, Peter",D,D+28,D+24,D+15,66%,31%,36%,57%,30%,26%,67%,31%,36%,68%,31%,37%,1.18,95.1%,0.9%,1.4%,0.8%,"$57,808",36.8%,34.9%,59.9%,Pure rural
WA-1,"DelBene, Suzan",D,D+14,D+14,D+6,59%,38%,21%,54%,38%,16%,54%,43%,11%,56%,42%,14%,1.03,83.0%,1.2%,5.0%,6.8%,"$90,029",42.8%,32.1%,45.8%,Sparse suburban
WA-2,"Larsen, Rick",D,D+20,D+22,D+10,62%,35%,27%,57%,35%,22%,59%,38%,21%,61%,38%,23%,1.05,79.7%,2.6%,6.0%,6.7%,"$64,663",30.9%,24.7%,51.8%,Dense suburban
WA-3,"Herrera Beutler, Jaime",R,R+10,R+6,R+4,47%,51%,-4%,43%,50%,-7%,48%,50%,-2%,51%,47%,4%,1.00,87.0%,1.4%,4.7%,2.8%,"$60,163",24.7%,21.4%,63.9%,Rural-suburban mix
WA-4,"Newhouse, Dan",R,R+25,R+23,R+13,40%,58%,-18%,35%,58%,-23%,38%,60%,-22%,39%,59%,-20%,1.26,71.8%,1.2%,21.1%,1.4%,"$53,381",20.1%,16.9%,47.4%,Rural-suburban mix
WA-5,"McMorris Rodgers, Cathy",R,R+16,R+12,R+8,44%,53%,-9%,39%,52%,-13%,44%,54%,-10%,46%,51%,-5%,1.17,88.1%,1.5%,4.4%,1.7%,"$50,693",28.9%,25.9%,61.8%,Rural-suburban mix
WA-6,"Kilmer, Derek",D,D+11,D+13,D+6,57%,40%,18%,52%,40%,12%,56%,41%,15%,57%,41%,16%,1.12,82.1%,3.5%,4.8%,3.5%,"$59,898",29.2%,25.3%,56.5%,Rural-suburban mix
WA-7,"Jayapal, Pramila",D,D+67,D+66,D+33,86%,12%,73%,82%,12%,70%,79%,18%,61%,80%,18%,62%,0.86,77.5%,3.6%,5.1%,8.8%,"$80,962",59.5%,47.2%,27.5%,Urban-suburban mix
WA-8,"Schrier, Kim",D,R+0,D+3,EVEN,52%,46%,7%,48%,45%,3%,50%,48%,2%,52%,47%,5%,1.15,80.4%,2.8%,6.4%,6.1%,"$79,632",33.7%,26.1%,50.8%,Sparse suburban
WA-9,"Smith, Adam",D,D+43,D+44,D+21,73%,25%,49%,71%,23%,47%,68%,30%,39%,69%,30%,39%,1.05,57.6%,10.7%,6.2%,19.2%,"$73,249",41.5%,24.5%,26.9%,Dense suburban
WA-10,"Strickland, Marilyn",D,D+9,D+13,D+5,56%,41%,16%,51%,40%,11%,56%,41%,15%,57%,41%,16%,1.07,73.6%,6.4%,7.1%,5.6%,"$61,351",27.6%,21.4%,50.9%,Dense suburban
WI-1,"Steil, Bryan",R,R+14,R+13,R+5,45%,54%,-9%,42%,53%,-10%,47%,52%,-4%,51%,48%,3%,0.95,86.3%,5.2%,6.0%,1.2%,"$62,769",28.1%,25.4%,60.0%,Sparse suburban
WI-2,"Pocan, Mark",D,D+35,D+33,D+18,69%,29%,40%,66%,29%,37%,68%,31%,38%,70%,29%,42%,1.13,88.9%,3.8%,3.1%,2.4%,"$63,850",41.2%,36.5%,50.3%,Rural-suburban mix
WI-3,"Kind, Ron",D,R+9,R+4,EVEN,47%,52%,-5%,45%,49%,-5%,55%,44%,11%,59%,39%,20%,1.05,94.6%,1.0%,1.4%,1.5%,"$52,958",24.8%,23.8%,70.6%,Pure rural
WI-4,"Moore, Gwen",D,D+49,D+47,D+25,76%,23%,54%,74%,22%,52%,75%,24%,52%,74%,25%,50%,0.96,52.1%,32.8%,10.2%,2.8%,"$41,514",27.4%,20.5%,30.5%,Urban-suburban mix
WI-5,"Fitzgerald, Scott",R,R+21,R+26,R+13,42%,57%,-15%,37%,57%,-20%,38%,61%,-24%,42%,57%,-15%,0.93,91.8%,2.0%,3.5%,1.5%,"$68,197",36.4%,33.1%,57.4%,Sparse suburban
WI-6,"Grothman, Glenn",R,R+20,R+18,R+8,42%,57%,-15%,39%,56%,-17%,46%,53%,-7%,49%,49%,0%,1.13,93.2%,1.6%,2.4%,1.5%,"$57,150",25.6%,24.2%,68.3%,Rural-suburban mix
WI-7,"Tiffany, Tom",R,R+24,R+19,R+8,39%,59%,-20%,37%,58%,-21%,48%,51%,-3%,53%,45%,8%,1.09,94.4%,0.6%,1.2%,1.0%,"$52,826",22.7%,21.7%,72.5%,Pure rural
WI-8,"Gallagher, Mike",R,R+21,R+18,R+7,41%,57%,-16%,39%,56%,-18%,48%,51%,-4%,54%,45%,9%,1.15,92.0%,1.1%,2.3%,1.4%,"$57,603",25.7%,24.0%,66.9%,Rural-suburban mix
WV-1,"McKinley, David",R,R+34,R+33,R+19,30%,68%,-38%,26%,68%,-42%,36%,62%,-27%,42%,57%,-15%,1.09,94.9%,2.4%,0.9%,0.6%,"$45,670",22.5%,21.0%,73.9%,Pure rural
WV-2,"Mooney, Alex",R,R+29,R+28,R+17,33%,65%,-33%,29%,66%,-36%,38%,60%,-22%,44%,55%,-11%,1.03,92.3%,4.4%,1.4%,0.6%,"$49,173",21.3%,19.4%,72.9%,Pure rural
WV-3,"Miller, Carol",R,R+44,R+40,R+23,26%,73%,-48%,23%,73%,-49%,33%,65%,-32%,42%,56%,-13%,1.12,93.9%,3.7%,0.8%,0.3%,"$37,749",15.8%,14.7%,79.2%,Pure rural
WY-1,"Cheney, Liz",R,R+50,R+45,R+25,27%,70%,-44%,23%,70%,-48%,28%,68%,-41%,33%,65%,-33%,1.04,88.3%,1.0%,6.8%,0.6%,"$60,938",26.7%,24.7%,62.8%,Pure rural
Sources:,,,FiveThirtyEight,,Cook Political Report,Daily Kos Elections,,,,,,,,,,,,FiveThirtyEight,2013–2017 American Community Survey 5-Year Estimates,,,,,,,,CityLab