State,Year,Population,Lawful Permanent Residents Total,Lawful Permanent Residents Rank,Adjustments Total,Adjustments Rank,New Arrivals Total,New Arrivals Rank,Nonimmigrants Total,Nonimmigrants Rank,Naturalizations Total,Naturalizations Rank,Refugees Total,Refugees Rank,Asylees Total,Asylees Rank,Lawful Permanent Residents Per Million,Lawful Permanent Residents Per Million Rank,Adjustments Per Million,Adjustments Per Million Rank,New Arrivals Per Million,New Arrivals Per Million Rank,Nonimmigrants Per Million,Nonimmigrants Per Million Rank,Naturalizations Per Million,Naturalizations Per Million Rank,Refugees Per Million,Refugees Per Million Rank,Asylees Per Million,Asylees Per Million Rank
Alabama,2013,4830081,3850,35,2150,34,1700,34,126750,35,1810,39,130,42,20,36,796.674,49,444.713,48,351.961,48,26240.761,44,374.942,49,26.708,43,4.762,46
Alabama,2014,4841799,3690,35,2050,34,1640,37,141340,34,1270,42,110,43,10,40,761.081,48,422.57,47,338.511,47,29191.009,43,261.473,51,22.099,44,2.891,47
Alabama,2015,4852347,3930,35,2100,36,1830,35,151470,34,2830,32,110,43,30,40,809.505,49,432.574,48,376.931,49,31215.822,43,584.047,47,21.639,43,5.358,43
Alabama,2016,4863525,4740,35,2390,34,2340,36,152740,34,2330,38,120,43,20,43,973.779,48,492.03,47,481.749,47,31405.411,44,479.282,48,24.673,44,3.29,50
Alabama,2017,4874486,3800,37,1910,35,1900,37,158220,34,1050,43,60,44,40,36,779.775,48,390.81,48,388.964,48,32458.191,47,214.382,52,12.924,46,8.821,45
Alabama,2018,4887681,3740,37,2030,35,1710,37,178590,33,2470,37,30,44,60,40,764.575,48,414.921,47,349.655,47,36538.596,44,504.943,48,6.138,45,11.253,47
Alabama,2019,4903185,3670,36,2210,35,1460,37,187320,33,2980,36,20,44,40,40,748.289,48,450.523,48,297.766,48,38204.351,44,608.176,47,4.283,45,8.362,49
Alabama,2020,5033094,2840,33,1960,32,880,37,90050,32,3490,29,10,45,20,46,564.861,46,389.224,46,175.637,48,17890.784,43,693.41,40,1.192,45,2.98,52
Alabama,2021,5049196,2890,34,1970,34,920,35,49890,30,1610,41,0,,20,41,571.774,47,389.567,47,182.207,48,9881.375,39,319.655,51,0,,3.367,48
Alabama,2022,5076181,3750,34,2090,33,1660,35,115070,34,4000,32,40,44,30,43,738.153,47,412.121,45,326.033,48,22668.222,42,787.6,45,7.092,46,6.698,47
Alabama,2023,5117673,4230,37,2500,33,1730,37,153450,33,3070,34,110,44,20,44,825.961,47,488.112,47,337.849,48,29984.135,44,600.077,47,20.713,46,4.494,51
Alaska,2013,737068,1460,45,570,49,890,44,131920,33,1080,44,110,43,10,45,1980.821,22,777.405,35,1203.417,17,178976.702,11,1469.335,21,143.813,37,10.854,33
Alaska,2014,736283,1510,45,680,48,830,43,135860,35,1080,44,140,41,20,38,2044.051,22,922.2,30,1121.851,16,184520.083,10,1461.395,20,191.502,31,21.731,20
Alaska,2015,737498,1570,46,640,48,930,43,129400,35,960,45,150,41,30,38,2131.531,24,873.223,34,1258.308,17,175456.747,11,1307.122,23,197.967,32,39.322,16
Alaska,2016,741456,1730,46,630,48,1100,43,120600,35,970,47,130,42,10,44,2327.852,23,846.982,37,1480.87,16,162656.988,12,1310.934,25,172.633,36,17.533,27
Alaska,2017,739700,1550,46,740,47,800,45,113110,39,1010,45,70,43,20,44,2091.388,24,1005.813,29,1085.575,22,152914.695,13,1366.77,23,94.633,36,24.334,29
Alaska,2018,735139,1380,47,610,48,770,45,134730,38,1380,44,40,43,20,47,1870.395,30,822.974,39,1047.421,20,183271.463,13,1875.836,16,57.132,32,24.485,37
Alaska,2019,731545,1370,46,640,48,730,44,143370,35,1140,43,50,42,20,46,1878.217,26,876.228,33,1001.989,18,195978.375,13,1563.814,29,64.248,34,24.605,39
Alaska,2020,733017,820,48,490,48,340,46,31220,42,620,48,20,43,10,49,1122.757,31,661.649,34,461.108,25,42584.278,19,851.276,33,21.828,37,10.914,44
Alaska,2021,734420,760,47,430,48,330,45,48380,32,890,48,10,43,0,,1036.192,34,581.411,41,454.781,23,65875.112,6,1211.841,27,16.339,39,0,
Alaska,2022,734442,670,49,290,51,390,47,160780,30,1180,45,20,46,10,46,916.342,44,390.773,47,525.569,36,218909.049,7,1612.108,24,28.593,41,19.062,36
Alaska,2023,736510,1160,47,510,48,650,47,115520,38,1180,46,80,46,20,46,1570.922,34,691.097,39,879.825,28,156842.405,12,1598.077,28,107.263,39,23.082,36
Arizona,2013,6632764,16100,15,9590,15,6510,15,1952810,7,13170,13,3050,6,160,15,2426.892,18,1446.154,13,980.737,19,294418.436,6,1984.844,16,460.14,7,23.369,15
Arizona,2014,6730413,16910,15,10350,14,6560,15,1653320,7,11270,14,2960,6,260,11,2512.179,17,1538.093,13,974.086,20,245649.264,7,1674.191,17,440.389,6,38.333,11
Arizona,2015,6829676,18000,15,10550,12,7450,15,1690890,7,13750,13,3130,4,220,13,2635.118,18,1544.29,16,1090.828,19,247580.266,8,2012.98,15,458.733,6,31.627,20
Arizona,2016,6941072,20690,15,11690,11,9000,15,1599690,7,11370,15,4110,6,110,22,2981.384,16,1684.61,12,1296.774,18,230466.706,8,1638.652,18,591.695,5,16.136,28
Arizona,2017,7044008,19340,14,10480,13,8860,15,2498200,7,12460,15,2250,7,220,17,2746.164,18,1487.789,14,1258.374,19,354655.9,7,1769.163,16,319.278,8,30.806,24
Arizona,2018,7158024,18340,16,10960,15,7370,16,2931410,6,12070,16,1000,6,300,19,2561.461,18,1531.568,14,1029.893,21,409527.406,6,1686.499,19,139.424,9,41.771,30
Arizona,2019,7278717,18180,14,12250,11,5930,16,2816340,7,14280,15,1220,8,520,14,2497.83,17,1682.714,11,815.116,24,386928.356,7,1961.472,18,167.062,8,70.754,26
Arizona,2020,7187135,12520,16,8820,13,3700,17,1615480,5,13670,12,440,9,530,13,1741.445,16,1226.914,14,514.53,22,224774.406,5,1902.288,14,61.777,6,73.882,13
Arizona,2021,7274078,14470,14,10510,14,3960,16,486160,5,17510,12,420,9,150,20,1988.706,15,1444.307,13,544.399,17,66835,5,2407.453,14,58.014,8,20.621,26
Arizona,2022,7377566,16980,15,9830,14,7160,16,2044140,5,16400,13,1030,10,310,18,2302.114,17,1332.147,16,969.968,19,277074.851,5,2222.413,20,139.477,7,41.613,24
Arizona,2023,7473027,20190,15,11610,14,8580,16,2941190,5,13040,17,2610,6,790,6,2701.181,16,1553.052,13,1148.129,21,393573.715,5,1744.808,26,349.122,6,105.981,3
Arkansas,2013,2959400,2900,40,1570,38,1330,39,70200,40,1570,41,10,46,10,42,979.928,43,530.513,44,449.415,40,23721.362,47,529.499,47,2.365,48,3.379,47
Arkansas,2014,2967392,2790,39,1440,38,1350,40,100880,37,1670,38,10,46,10,43,941.231,45,485.949,45,455.282,39,33997.193,37,563.121,47,2.359,46,3.033,45
Arkansas,2015,2978048,2810,40,1460,39,1350,40,120540,36,1580,41,10,46,10,44,944.914,46,491.597,45,453.317,42,40477.521,36,529.206,48,4.365,49,4.029,48
Arkansas,2016,2989918,3160,39,1610,38,1550,39,114260,37,1810,39,10,47,30,33,1056.216,45,538.811,45,517.405,44,38216.433,38,605.033,47,2.676,48,11.037,34
Arkansas,2017,3001345,3070,39,1570,37,1500,39,133500,36,1330,42,60,45,120,26,1023.208,44,524.432,45,498.776,43,44479.392,38,442.468,47,19.658,43,39.649,21
Arkansas,2018,3009733,3000,39,1550,40,1450,38,140540,35,2070,39,60,42,160,28,996.766,46,516.325,45,480.441,40,46695.836,37,687.769,44,19.603,43,54.49,24
Arkansas,2019,3017804,2920,38,1770,36,1140,39,135020,37,2330,37,50,43,50,39,965.934,45,587.845,45,378.089,45,44740.149,39,771.091,45,15.243,43,16.568,44
Arkansas,2020,3014546,2220,38,1480,35,740,38,65340,37,2180,37,20,41,20,44,737.756,43,491.616,43,246.14,41,21673.91,35,723.824,38,7.63,43,7.961,47
Arkansas,2021,3026870,2590,36,1810,36,780,38,29550,38,2070,37,40,37,10,44,854.348,40,596.656,40,257.692,38,9761.899,40,685.196,43,13.545,40,3.964,45
Arkansas,2022,3047704,3390,35,1970,34,1420,38,68650,39,2530,39,70,39,60,34,1112.641,38,647.044,36,465.596,40,22524.169,43,829.477,43,21.328,43,18.374,37
Arkansas,2023,3069463,3150,38,1820,37,1330,39,98510,39,2070,38,150,41,90,31,1026.238,45,592.286,43,433.952,46,32094.213,42,675.037,46,48.217,44,29.973,31
California,2013,38260787,191810,1,98080,1,93730,1,11182800,1,164790,1,6380,2,7740,1,5013.122,4,2563.486,5,2449.636,4,292278.463,7,4307.073,4,166.724,32,202.217,3
California,2014,38596972,198380,1,101880,1,96500,1,10102620,1,140230,1,6110,2,8070,1,5139.756,4,2639.508,4,2500.248,4,261746.491,6,3633.29,4,158.251,35,209.032,3
California,2015,38918045,209570,1,106230,1,103340,1,10609330,1,155980,1,5720,2,8640,1,5384.854,4,2729.582,2,2655.272,4,272606.936,6,4007.884,3,146.924,35,222.056,3
California,2016,39167117,223140,1,101910,1,121230,1,10893310,1,151830,1,7910,1,6460,1,5697.152,4,2601.876,3,3095.275,3,278123.738,6,3876.466,4,201.93,34,164.934,2
California,2017,39358497,214240,1,101730,1,112520,1,14088510,1,157360,1,5160,1,9160,1,5443.374,4,2584.652,3,2858.722,4,357953.405,6,3998.222,4,131.103,33,232.834,3
California,2018,39461588,200900,1,100090,1,100810,1,15523050,1,163060,1,1360,4,10590,1,5090.951,4,2536.289,4,2554.662,5,393371.22,7,4132.094,4,34.515,37,268.337,3
California,2019,39512223,193090,1,106390,1,86700,1,15542200,1,148770,1,1840,4,14290,1,4886.918,4,2692.635,3,2194.283,5,393351.799,6,3765.037,4,46.593,38,361.584,2
California,2020,39521958,139000,1,86090,1,52910,1,7167200,1,112740,1,1190,1,9500,1,3516.931,2,2178.257,1,1338.674,3,181347.341,7,2852.541,5,30.16,31,240.246,1
California,2021,39142565,135180,1,95160,1,40020,1,1859670,3,171860,1,990,1,4970,1,3453.555,4,2431.164,3,1022.391,3,47510.198,8,4390.693,3,25.19,35,127.074,2
California,2022,39142414,182920,1,104430,1,78490,1,8162890,1,182000,1,2180,1,9270,1,4673.217,5,2667.899,5,2005.318,5,208543.219,8,4649.56,4,55.745,34,236.802,3
California,2023,39198693,205040,1,112100,1,92940,1,12482520,1,154520,1,3670,3,4540,1,5230.761,4,2859.866,3,2370.895,6,318442.276,7,3941.866,4,93.549,40,115.871,2
Colorado,2013,5269035,11110,18,6110,18,5000,19,559250,15,6260,20,1790,15,90,22,2108.166,21,1159.795,22,948.371,20,106138.411,15,1188.643,27,339.531,12,17.081,24
Colorado,2014,5350101,10870,19,5800,18,5070,19,532120,14,5970,20,1810,16,70,23,2032.111,23,1084.839,23,947.272,21,99459.618,16,1114.932,27,338.872,12,13.832,24
Colorado,2015,5450623,12660,18,6980,18,5680,18,586610,14,9420,18,1730,16,100,24,2322.854,20,1280.588,22,1042.266,21,107621.643,16,1728.793,19,317.395,13,17.98,28
Colorado,2016,5539215,14230,18,7640,18,6580,19,599670,15,8680,19,1650,21,120,21,2568.053,20,1379.979,20,1188.074,23,108258.3,16,1566.829,19,297.335,21,20.761,22
Colorado,2017,5611885,14520,18,8000,18,6520,19,723070,14,6100,22,1140,17,170,20,2587.366,19,1425.724,16,1161.642,21,128845.655,15,1087.692,30,203.853,17,30.649,25
Colorado,2018,5691287,13910,18,8100,18,5810,19,843030,14,7970,19,490,17,220,22,2444.614,20,1423.755,20,1020.859,22,148127.128,15,1400.913,26,85.394,18,37.777,31
Colorado,2019,5758736,13560,18,8380,18,5180,19,853520,14,10840,18,620,20,440,19,2354.336,19,1455.354,16,898.982,21,148212.733,15,1882.358,20,108.357,22,75.711,23
Colorado,2020,5787129,9220,18,5770,18,3460,18,402540,14,8260,19,190,23,380,16,1593.709,20,996.522,20,597.187,19,69557.461,13,1427.824,19,33.004,26,65.663,15
Colorado,2021,5814036,10150,17,7270,17,2870,17,167070,13,8820,19,270,20,140,22,1745.087,18,1250.766,18,494.321,19,28735.976,15,1516.846,21,45.579,17,23.22,25
Colorado,2022,5850935,11410,17,6140,17,5270,18,547570,14,9520,21,630,16,350,16,1950.116,20,1050.089,22,900.027,21,93585.897,15,1627.603,22,106.821,13,58.965,18
Colorado,2023,5901339,14340,17,8160,17,6180,19,736410,14,11450,19,1420,17,620,7,2430.465,19,1383.415,19,1047.051,23,124787.442,16,1939.729,21,240.962,13,104.553,4
Connecticut,2013,3594841,10990,19,5730,19,5260,17,218110,25,9250,18,550,29,110,19,3055.768,14,1592.56,12,1463.208,13,60672.503,22,2573.966,11,152.163,36,30.599,12
Connecticut,2014,3594524,11250,18,5600,19,5650,18,228400,25,8340,18,540,30,80,22,3130.317,13,1558.76,12,1571.557,13,63541.376,21,2319.083,10,151.063,37,22.534,18
Connecticut,2015,3587122,11100,19,4770,23,6330,17,246800,26,9840,16,520,30,190,16,3094.96,15,1330.593,20,1764.367,12,68800.559,21,2742.589,8,144.684,36,53.246,12
Connecticut,2016,3578141,12670,19,5390,22,7280,17,265220,27,9320,17,820,29,190,13,3540.665,13,1506.648,16,2034.017,10,74121.73,20,2603.866,9,228.89,33,53.1,10
Connecticut,2017,3573297,11940,20,5410,21,6530,18,273680,27,7440,18,430,30,230,16,3340.892,14,1514.288,13,1826.604,12,76590.611,22,2082.391,13,120.897,35,65.486,13
Connecticut,2018,3571520,11630,19,4960,24,6670,17,276620,27,10150,17,160,34,300,20,3256.037,14,1389.324,21,1866.712,9,77451.897,22,2842.487,7,43.679,36,82.878,15
Connecticut,2019,3565287,10630,20,5110,23,5520,17,272460,28,8460,20,140,34,280,22,2981.527,14,1434.387,17,1547.141,10,76419.374,24,2372.881,16,39.828,39,79.096,21
Connecticut,2020,3579918,7800,19,4450,21,3360,19,115360,29,6810,21,70,32,180,23,2179.38,11,1242.207,13,937.172,8,32225.319,23,1903.116,13,18.157,38,50.56,24
Connecticut,2021,3606607,8650,19,6380,18,2270,20,71390,23,11710,16,60,32,150,19,2397.267,10,1767.589,10,629.678,15,19794.782,20,3245.433,6,16.359,38,42.699,13
Connecticut,2022,3617925,11220,18,6060,18,5160,19,185020,25,11070,18,140,32,260,21,3100.949,11,1674.993,11,1425.955,12,51140.087,21,3059.765,12,39.249,39,71.864,15
Connecticut,2023,3643023,12650,18,5940,21,6710,17,244070,28,9320,20,670,30,120,25,3473.214,12,1630.788,12,1842.426,10,66997.107,23,2559.138,14,184.462,26,33.489,27
Delaware,2013,923576,2330,41,1190,42,1140,41,40880,48,1460,42,10,47,20,38,2517.389,16,1288.47,19,1228.919,16,44262.735,31,1580.812,19,6.496,46,19.489,21
Delaware,2014,932487,2090,43,1070,42,1010,41,44380,46,1180,43,0,,20,31,2235.956,20,1148.541,22,1087.415,18,47597.446,31,1260.071,21,0,,23.593,16
Delaware,2015,941252,2170,42,960,43,1200,41,48590,46,1630,40,10,47,40,33,2303.315,22,1024.168,28,1279.147,16,51618.483,29,1734.923,18,9.562,45,41.434,13
Delaware,2016,948921,2200,43,990,44,1210,42,55110,44,1390,43,0,,30,35,2322.638,24,1044.344,28,1278.294,19,58074.381,28,1460.606,21,0,,31.615,16
Delaware,2017,956823,2240,43,1030,42,1210,41,53040,48,1450,41,20,46,70,30,2345.261,21,1080.66,27,1264.602,17,55430.315,31,1518.567,20,16.722,45,71.069,11
Delaware,2018,965479,1830,43,760,44,1070,41,54100,48,1550,43,20,46,100,34,1896.468,29,786.138,42,1110.33,18,56037.469,31,1601.278,21,21.751,41,99.433,12
Delaware,2019,973764,2080,42,1150,42,940,41,53200,48,1550,42,0,,120,33,2140.149,21,1175.85,25,964.299,19,54628.226,35,1588.681,27,0,,126.314,9
Delaware,2020,991928,1300,43,830,42,470,42,22360,47,1030,42,0,,80,34,1311.587,28,837.762,27,473.825,24,22537.926,33,1042.414,26,0,,76.618,12
Delaware,2021,1005062,1830,40,1310,40,520,40,13460,46,1810,40,10,44,40,31,1820.783,17,1302.407,15,518.376,18,13390.219,30,1798.894,16,11.94,41,42.783,12
Delaware,2022,1020625,2390,40,1480,39,900,42,33920,48,2420,41,50,43,50,37,2336.803,16,1453.031,12,883.772,22,33238.457,32,2367.177,17,45.07,37,48.01,22
Delaware,2023,1036423,2400,42,1150,41,1240,40,46090,48,1900,39,130,42,60,36,2312.762,21,1112.48,23,1200.282,20,44468.33,34,1835.158,24,125.431,36,56.927,13
District of Columbia,2013,650581,2980,38,1710,37,1280,40,434500,18,1850,38,10,45,160,13,4582.058,5,2622.271,4,1959.787,8,667856.885,3,2849.76,8,16.908,44,249.008,2
District of Columbia,2014,662328,3170,38,1730,37,1440,39,498630,17,1630,39,30,44,180,13,4784.638,5,2604.45,5,2180.189,6,752841.492,3,2454.977,7,43.785,41,267.239,2
District of Columbia,2015,675400,2980,39,1610,38,1370,39,517110,17,1680,39,10,49,160,18,4406.278,6,2376.37,4,2029.908,8,765636.66,3,2493.337,11,7.403,46,235.416,2
District of Columbia,2016,685815,3110,40,1670,37,1440,40,508130,18,1740,40,10,48,80,24,4540.583,6,2437.975,4,2102.608,9,740917.011,3,2531.295,12,8.749,46,116.65,4
District of Columbia,2017,694906,2890,40,1560,38,1330,40,543930,18,1940,39,0,,70,29,4151.641,8,2237.713,7,1913.928,10,782736.082,3,2797.501,8,0,,102.172,7
District of Columbia,2018,701547,2780,40,1620,38,1150,40,535630,18,1610,42,0,,80,36,3955.544,8,2312.033,6,1643.511,12,763502.659,3,2289.227,9,0,,112.608,9
District of Columbia,2019,705749,2400,40,1420,40,980,40,547080,18,2090,39,10,47,30,42,3397.809,10,2010.63,8,1387.179,12,775179.278,3,2961.393,8,7.085,44,48.176,30
District of Columbia,2020,670917,1650,41,1070,40,580,40,220480,19,1460,39,0,,40,37,2463.792,9,1593.342,8,870.45,11,328623.362,3,2182.088,9,0,,52.167,21
District of Columbia,2021,669256,1920,39,1440,37,470,42,82280,19,1820,39,0,,60,28,2861.386,6,2156.126,7,705.261,12,122946.974,2,2722.426,8,0,,92.64,4
District of Columbia,2022,676725,2600,39,1520,38,1070,40,294500,19,2420,40,0,,80,31,3834.645,8,2247.589,7,1587.055,9,435185.637,3,3581.957,8,0,,112.306,8
District of Columbia,2023,687324,2520,39,1510,39,1010,43,460180,19,1570,41,0,,50,38,3662.028,10,2198.381,8,1463.647,16,669524.125,3,2278.401,15,0,,78.566,7
Florida,2013,19545621,102940,3,63850,2,39090,4,8089140,2,101770,3,3610,5,2110,3,5266.602,3,3266.665,1,1999.936,7,413859.401,4,5206.946,2,184.85,30,107.953,6
Florida,2014,19845911,109310,3,72250,2,37060,4,9180840,2,79640,2,3520,5,1410,3,5507.936,3,3640.397,1,1867.538,8,462606.176,4,4012.766,1,177.316,33,70.997,8
Florida,2015,20209042,118870,3,79770,2,39110,4,10253860,2,81960,3,2480,11,1720,3,5882.169,2,3946.996,1,1935.173,9,507389.613,4,4055.61,2,122.618,37,84.962,9
Florida,2016,20613477,136340,3,84910,2,51420,4,10689260,2,88760,3,2980,12,1060,3,6613.974,2,4119.344,1,2494.63,7,518557.059,4,4306.115,3,144.711,38,51.18,12
Florida,2017,20963613,127610,3,79730,2,47880,4,11036480,2,69490,3,1700,12,1090,5,6087.166,3,3803.257,1,2283.91,8,526459.06,4,3314.553,5,80.997,38,52.186,14
Florida,2018,21244317,130410,3,86290,2,44120,4,11128660,2,95980,2,590,14,3600,3,6138.347,2,4061.651,1,2076.697,8,523841.6,4,4517.82,1,27.631,39,169.363,7
Florida,2019,21477737,118140,3,78750,2,39390,4,11547670,2,96150,3,660,18,3070,3,5500.58,2,3666.681,1,1833.899,8,537657.762,4,4476.682,1,30.729,41,143.032,7
Florida,2020,21592035,65800,4,46610,3,19190,4,5835660,2,78640,2,320,15,2120,3,3047.374,5,2158.62,2,888.754,9,270269.014,4,3642.13,1,14.728,39,97.953,7
Florida,2021,21831949,83230,2,61940,2,21280,4,3157500,1,109240,2,220,23,810,5,3812.165,3,2837.264,2,974.902,5,144627.628,1,5003.447,1,10.169,42,37.239,17
Florida,2022,22379312,113650,2,59800,3,53860,3,7526320,2,105530,3,750,13,2280,3,5078.485,3,2672.021,4,2406.464,3,336306.809,4,4715.426,3,33.468,40,101.835,10
Florida,2023,22904868,155500,2,86090,2,69410,3,9870370,2,94210,3,1900,13,1540,4,6788.95,1,3758.764,1,3030.186,3,430928.962,4,4112.968,3,83.039,41,67.409,10
Georgia,2013,9972479,24390,11,14140,9,10250,11,612680,13,19530,9,2710,8,120,18,2445.43,17,1417.501,16,1027.929,18,61436.58,21,1958.791,17,271.748,16,11.632,31
Georgia,2014,10067278,23790,11,13370,9,10430,11,671750,13,15240,9,2690,9,70,24,2363.3,19,1327.668,19,1035.632,19,66726.478,20,1514.014,18,267.6,15,6.655,40
Georgia,2015,10178447,25920,9,13970,8,11950,11,749070,12,20790,8,2890,7,150,22,2546.459,19,1372.508,19,1173.951,18,73593.644,18,2042.944,14,283.835,15,14.442,33
Georgia,2016,10301890,29570,8,15190,8,14380,11,793900,12,18870,11,3020,11,80,25,2870.541,18,1474.778,18,1395.763,17,77063.432,18,1831.314,16,292.859,24,7.668,42
Georgia,2017,10410330,26240,11,13170,9,13070,12,854520,13,16460,10,1870,10,160,22,2520.765,20,1265.09,21,1255.676,20,82083.949,19,1581.218,18,179.533,22,14.889,38
Georgia,2018,10511131,26730,9,13390,9,13340,11,906890,13,16590,10,830,10,170,26,2542.543,19,1273.793,23,1268.75,16,86279.012,20,1578.327,22,79.249,20,15.793,44
Georgia,2019,10617423,27250,8,15620,7,11620,10,992140,13,25860,7,1180,9,120,34,2566.159,16,1471.544,15,1094.616,16,93444.426,19,2435.431,13,111.326,20,11.396,48
Georgia,2020,10732888,18280,9,10840,9,7440,10,470420,13,18690,9,380,12,160,26,1703.363,18,1009.793,19,693.569,16,43829.862,17,1741.749,15,34.939,24,14.442,43
Georgia,2021,10792060,20030,10,13860,9,6170,9,274610,9,16480,13,370,13,110,23,1856.272,16,1284.37,17,571.902,16,25445.559,17,1526.678,20,34.099,25,9.915,39
Georgia,2022,10931805,26310,11,14650,11,11670,10,674430,12,28440,8,820,12,170,23,2406.922,15,1339.76,15,1067.161,16,61694.478,18,2601.583,15,75.01,20,15.917,41
Georgia,2023,11064432,29470,11,16150,9,13310,11,933750,13,20900,13,2230,12,370,13,2663.128,17,1459.994,15,1203.135,19,84392.312,19,1888.936,23,201.276,23,33.802,26
Hawaii,2013,1408243,6230,25,1810,36,4420,21,2261580,5,3490,27,10,48,40,31,4421.112,6,1286,20,3135.112,2,1605955.79,1,2481.106,13,4.261,47,26.984,14
Hawaii,2014,1414538,5740,27,1870,36,3880,22,2552830,5,2930,28,0,,100,19,4058.569,8,1319.159,20,2739.41,3,1804711.503,1,2072.055,12,0,,67.16,9
Hawaii,2015,1422052,6510,27,2150,34,4370,21,2714800,5,3700,29,10,48,200,15,4580.001,5,1509.087,18,3070.914,3,1909075.055,1,2600.467,9,4.922,48,140.642,4
Hawaii,2016,1427559,6290,28,1880,36,4400,23,2765890,5,3670,29,0,,200,12,4402.62,7,1317.634,23,3084.986,4,1937494.702,1,2572.923,11,0,,140.099,3
Hawaii,2017,1424393,5400,31,1360,40,4040,22,2962610,5,3490,27,0,,370,13,3788.28,11,953.389,31,2834.892,5,2079907.722,1,2450.869,11,0,,259.76,2
Hawaii,2018,1420593,5430,32,1580,39,3850,22,3084550,5,2670,36,0,,380,15,3822.347,9,1112.212,27,2710.136,3,2171308.742,1,1876.681,15,0,,270.31,2
Hawaii,2019,1415872,4920,31,1760,37,3160,22,2968120,5,4110,29,0,,210,25,3472.772,9,1240.931,22,2231.84,4,2096320.148,1,2902.805,10,0,,146.2,6
Hawaii,2020,1451252,2710,35,1430,37,1280,28,1340380,6,2520,35,0,,50,36,1866.664,15,985.356,21,881.308,10,923599.761,1,1737.81,16,0,,35.142,28
Hawaii,2021,1447029,2450,37,1340,39,1110,30,49870,31,3800,28,0,,30,38,1694.506,19,928.109,25,766.398,10,34462.336,12,2626.761,10,0,,17.277,30
Hawaii,2022,1440359,2710,38,1160,42,1550,36,686720,11,4400,29,0,,40,41,1878.698,23,802.578,29,1076.121,15,476767.945,1,3052.711,13,0,,27.771,31
Hawaii,2023,1441387,4640,34,1410,40,3230,26,1495920,7,3000,35,0,,20,45,3219.815,14,978.918,27,2240.897,7,1037831.616,1,2078.554,18,0,,13.182,42
Idaho,2013,1611206,2120,43,1230,41,890,43,41210,47,1310,43,920,25,10,47,1315.785,35,764.024,36,551.761,34,25575.873,45,809.952,34,571.001,3,3.103,48
Idaho,2014,1631112,2200,41,1410,39,790,45,42830,48,1560,40,980,26,10,47,1349.999,33,865.667,34,484.332,37,26255.095,46,956.403,30,599.591,3,3.678,43
Idaho,2015,1651059,2530,41,1620,37,920,44,48290,47,1430,43,940,26,10,49,1532.956,33,978.766,31,554.19,36,29249.106,46,864.294,34,566.303,4,4.24,47
Idaho,2016,1682380,2560,41,1520,39,1040,44,50400,47,1530,41,1140,26,20,40,1522.843,34,902.293,33,620.549,39,29958.749,46,911.209,34,674.639,3,13.077,31
Idaho,2017,1717715,2710,41,1810,36,900,44,62890,44,1990,38,630,27,20,45,1577.095,34,1052.561,28,524.534,40,36610.846,43,1160.844,29,365.602,5,10.479,43
Idaho,2018,1750536,2730,41,1870,36,860,44,63110,44,2100,38,360,26,30,42,1558.38,35,1068.244,29,490.136,39,36054.1,45,1201.346,30,205.651,4,17.709,41
Idaho,2019,1787065,2310,41,1580,38,730,45,60050,46,1660,40,520,24,30,44,1293.741,37,885.25,32,408.491,41,33601.464,47,928.897,40,292.659,2,15.668,45
