State,Year,Population,Lawful Permanent Residents Total,Lawful Permanent Residents Rank,Adjustments Total,Adjustments Rank,New Arrivals Total,New Arrivals Rank,Nonimmigrants Total,Nonimmigrants Rank,Naturalizations Total,Naturalizations Rank,Refugees Total,Refugees Rank,Asylees Total,Asylees Rank,Lawful Permanent Residents Per Million,Lawful Permanent Residents Per Million Rank,Adjustments Per Million,Adjustments Per Million Rank,New Arrivals Per Million,New Arrivals Per Million Rank,Nonimmigrants Per Million,Nonimmigrants Per Million Rank,Naturalizations Per Million,Naturalizations Per Million Rank,Refugees Per Million,Refugees Per Million Rank,Asylees Per Million,Asylees Per Million Rank
Pennsylvania,2020,12996143,17400,11,9690,10,7710,9,310650,16,12930,14,450,8,650,10,1338.705,26,745.606,31,593.099,20,23903.015,31,994.526,29,34.472,25,49.784,25
Pennsylvania,2021,13015571,17310,11,11480,12,5830,10,159300,15,19690,10,400,10,380,12,1329.638,27,881.944,28,447.695,25,12239.494,31,1513.034,22,30.886,30,28.812,20
Pennsylvania,2022,12984990,28380,10,15150,9,13230,9,440750,15,26750,11,1100,9,600,11,2185.677,18,1166.578,18,1019.1,18,33942.652,30,2059.84,21,84.79,17,45.899,23
Pennsylvania,2023,13017721,33260,8,13710,10,19550,7,605150,16,25420,8,2770,4,430,12,2554.671,18,1053.18,25,1501.492,15,46486.478,32,1952.723,20,212.403,20,32.648,28
Puerto Rico,2013,3593077,2940,39,960,43,1990,30,148820,32,2450,35,0,,10,49,818.797,48,266.346,50,552.451,33,41417.426,33,681.032,43,0,,1.392,52
Puerto Rico,2014,3534874,2710,40,950,44,1760,34,149640,33,2440,34,0,,0,,766.364,47,268.185,49,498.179,35,42331.919,34,689.982,39,0,,0,
Puerto Rico,2015,3473232,3320,38,960,44,2370,27,179250,30,2830,34,0,,10,47,956.458,45,275.248,50,681.21,31,51609.279,30,813.651,39,0,,2.591,51
Puerto Rico,2016,3406672,3580,38,910,45,2670,30,196840,30,2510,36,0,,10,48,1051.173,46,267.416,52,783.756,31,57781.025,29,737.964,43,0,,2.055,52
Puerto Rico,2017,3325286,3300,38,810,45,2490,31,186470,33,2650,35,0,,10,49,991.794,47,243.588,51,748.206,32,56077.582,29,797.225,40,0,,2.406,52
Puerto Rico,2018,3193354,3060,38,580,49,2480,29,104640,39,1790,41,0,,10,50,958.866,47,181.94,52,776.926,26,32768.055,47,561.165,47,0,,2.192,52
Puerto Rico,2019,3193694,2560,39,790,47,1770,35,129260,39,1130,45,0,,10,50,800.014,47,246.736,52,553.278,35,40473.508,42,352.883,50,0,,3.444,52
Puerto Rico,2020,3281590,1690,40,770,43,920,36,70870,35,1190,41,0,,10,47,514.69,48,234.642,50,280.047,38,21596.848,36,361.715,48,0,,4.266,51
Puerto Rico,2021,3262711,1330,43,650,45,680,39,30830,37,1170,44,0,,10,45,406.41,49,199.527,51,206.883,47,9450.117,43,359.823,49,0,,3.371,47
Puerto Rico,2022,3220137,1960,43,740,45,1220,39,82970,38,1470,43,0,,20,44,608.049,49,228.251,52,379.798,44,25764.742,41,456.502,49,0,,7.453,46
Puerto Rico,2023,3203792,2450,41,720,45,1730,36,125870,35,1250,45,0,,10,51,764.095,48,223.797,52,540.297,38,39288.443,38,390.163,50,0,,1.561,52
Rhode Island,2013,1055081,3340,37,1500,39,1840,31,54680,44,2820,31,170,40,20,40,3162.79,13,1418.848,15,1743.942,9,51821.614,28,2668.989,10,162.073,35,15.165,27
Rhode Island,2014,1055936,3300,37,1330,40,1970,31,57540,43,2480,32,190,39,20,39,3122.348,14,1257.652,21,1864.696,9,54490.992,28,2347.68,9,178.041,32,15.152,22
Rhode Island,2015,1056065,3610,37,1310,40,2300,28,63240,43,2730,35,190,40,40,34,3418.35,12,1236.666,23,2181.684,6,59882.678,27,2583.174,10,175.179,33,35.983,19
Rhode Island,2016,1056770,4190,36,1480,40,2720,29,67120,43,2740,34,340,40,30,36,3968.697,9,1399.548,19,2569.149,6,63512.401,27,2589.021,10,318.896,17,27.442,17
Rhode Island,2017,1055673,4100,35,1420,39,2680,27,70980,43,3420,29,200,39,30,42,3885.673,10,1344.166,18,2541.507,6,67237.677,27,3234.903,6,193.242,20,26.523,28
Rhode Island,2018,1058287,4340,35,1790,37,2540,27,76650,43,3050,34,90,39,60,39,4097.187,6,1693.302,13,2403.885,6,72428.368,26,2878.236,6,81.263,19,53.861,25
Rhode Island,2019,1059361,3450,37,1430,39,2010,30,67210,43,2310,38,90,41,80,37,3251.96,12,1352.702,18,1899.258,6,63439.186,27,2182.448,17,84.013,29,76.461,22
Rhode Island,2020,1096530,2290,37,1150,39,1140,31,25070,46,1480,38,60,33,70,35,2090.23,14,1049.675,16,1040.555,7,22864.855,32,1346.064,21,54.718,10,61.102,18
Rhode Island,2021,1097246,2220,38,1350,38,870,36,18610,44,2980,31,50,35,40,33,2021.425,14,1230.353,19,791.071,8,16963.379,24,2714.979,9,42.835,19,38.278,16
Rhode Island,2022,1099498,3380,36,1580,37,1800,34,45880,43,3010,36,70,37,110,30,3075.04,12,1435.2,13,1639.839,7,41730.863,26,2741.251,14,65.484,31,100.046,11
Rhode Island,2023,1103429,4510,35,1820,36,2690,29,61690,43,2880,37,190,38,80,33,4085.446,9,1651.216,11,2434.23,5,55908.445,28,2612.764,13,173.097,29,73.408,9
South Carolina,2013,4764080,4270,32,2480,32,1790,33,131490,34,4770,24,150,41,40,30,895.451,47,519.513,45,375.938,44,27600.292,41,1001.243,30,31.066,42,8.396,40
South Carolina,2014,4823617,4230,33,2190,33,2040,30,153560,31,4490,22,120,42,10,41,877.557,46,454.223,46,423.334,42,31834.202,39,930.008,32,25.085,43,2.902,46
South Carolina,2015,4891938,4420,34,2180,33,2240,31,170650,33,4610,25,230,38,30,41,902.914,48,445.631,47,457.283,41,34883.721,39,942.571,32,46.198,40,5.11,45
South Carolina,2016,4957968,5100,34,2630,33,2470,34,181280,32,4160,25,350,38,20,42,1029.454,47,531.064,46,498.39,45,36562.761,39,838.852,37,70.593,40,3.429,48
South Carolina,2017,5021268,5030,33,2690,32,2330,33,204080,31,5030,24,240,37,40,40,1001.142,46,536.319,44,464.823,45,40643.12,40,1002.336,34,48.195,41,7.966,47
South Carolina,2018,5084156,5080,33,2820,33,2250,33,228060,30,3900,29,100,37,20,48,998.789,45,555.451,44,443.338,45,44857.2,39,766.499,42,19.669,42,3.54,51
South Carolina,2019,5148714,4680,32,2720,31,1960,33,227960,30,4000,30,190,33,20,45,907.994,46,528.093,46,379.901,44,44274.357,40,775.922,44,36.708,40,4.467,50
South Carolina,2020,5132249,3710,30,2520,29,1180,30,101830,30,3440,30,60,35,30,39,721.906,44,491.792,42,230.114,44,19841.789,41,669.492,41,11.106,42,6.625,49
South Carolina,2021,5194274,4380,28,3210,28,1170,28,56710,28,2540,35,100,29,20,42,842.851,41,618.181,39,224.67,44,10918.369,35,489.77,46,19.059,36,3.273,49
South Carolina,2022,5287935,5850,28,3290,28,2570,26,148510,31,4790,27,320,28,40,40,1107.048,39,621.982,39,485.066,39,28083.742,37,905.647,41,60.137,33,7.753,45
South Carolina,2023,5387830,6500,28,3740,28,2750,28,194240,30,4660,28,680,29,90,32,1205.866,39,694.714,38,511.152,42,36051.249,40,865.283,43,126.767,35,16.148,41
South Dakota,2013,842316,1230,47,940,44,290,48,14890,52,460,49,530,30,10,44,1461.447,32,1119.532,24,341.914,49,17671.515,50,550.862,45,632.779,1,10.685,34
South Dakota,2014,849129,1110,48,770,46,340,48,16830,52,680,47,520,31,0,,1304.867,34,906.812,32,398.055,46,19821.488,50,796.11,34,615.925,2,0,
South Dakota,2015,853988,1270,48,900,46,370,48,19650,52,540,49,480,32,10,46,1481.285,34,1050.366,26,430.919,44,23007.349,50,634.669,45,566.753,3,11.71,38
South Dakota,2016,862996,1230,48,740,47,490,48,19580,52,650,48,430,36,10,49,1424.109,39,859.795,35,564.313,40,22686.084,50,749.714,41,493.629,7,8.111,41
South Dakota,2017,872868,1020,48,540,48,470,48,20580,52,630,48,310,34,10,48,1165.125,42,622.087,43,543.037,39,23576.302,50,724.05,43,359.734,7,11.456,42
South Dakota,2018,878698,1130,48,730,46,400,48,21090,52,630,48,210,30,20,46,1288.27,41,828.499,38,459.771,43,24005.972,50,711.28,43,240.128,1,22.761,39
South Dakota,2019,884659,1200,48,800,46,400,48,22890,52,780,47,130,37,20,47,1355.324,35,904.303,31,451.021,40,25872.116,50,881.696,42,145.819,11,16.956,43
South Dakota,2020,887948,890,47,700,45,190,48,9690,52,830,45,50,36,10,48,996.68,35,788.334,28,208.346,46,10911.675,51,939.244,30,56.31,9,14.64,41
South Dakota,2021,896492,680,48,490,47,190,48,7640,51,960,46,50,34,10,46,759.628,43,547.69,42,211.937,46,8522.106,46,1070.841,32,56.888,9,11.155,36
South Dakota,2022,909723,680,48,370,48,320,48,16080,52,650,50,60,40,20,45,750.778,46,403.42,46,347.358,46,17679.008,50,715.602,46,67.053,30,16.489,39
South Dakota,2023,918305,1010,48,520,47,490,48,21090,52,970,48,200,37,10,50,1095.497,43,564.083,45,531.414,40,22970.582,50,1050.849,37,219.97,18,7.623,48
Tennessee,2013,6494340,8380,21,4610,21,3770,22,180620,28,5000,22,1560,17,100,20,1290.354,36,709.541,37,580.813,31,27811.294,40,770.517,39,239.901,20,16.014,26
Tennessee,2014,6541223,8510,21,4510,22,3990,21,201540,27,4610,21,1470,18,80,21,1300.521,35,689.932,39,610.589,31,30810.141,40,705.22,37,224.27,23,12.689,25
Tennessee,2015,6591170,8830,21,4810,22,4030,22,241000,27,5380,22,1530,18,120,23,1340.126,36,729.006,39,611.121,33,36563.463,38,816.395,38,232.129,27,18.054,27
Tennessee,2016,6646010,10030,22,5080,23,4950,21,270680,26,5370,22,1960,16,140,20,1509.477,36,764.218,41,745.259,34,40727.895,37,808.154,38,294.763,22,20.463,23
Tennessee,2017,6708799,9790,22,5090,24,4710,21,326780,24,3650,26,1050,20,540,10,1459.725,36,758.258,40,701.467,34,48709.016,35,543.316,45,156.213,31,80.64,9
Tennessee,2018,6771631,9590,23,5230,23,4360,21,378720,23,5520,23,420,23,1390,6,1416.202,38,772.34,43,643.863,34,55927.885,32,814.87,40,62.023,30,205.711,4
Tennessee,2019,6829174,9510,21,5370,22,4130,21,400280,23,6720,22,650,19,500,16,1392.116,34,786.918,38,605.198,32,58613.824,29,984.014,35,95.033,25,73.362,24
Tennessee,2020,6927904,6700,21,4410,22,2290,21,179630,23,7450,20,180,25,200,20,967.681,36,636.845,38,330.836,33,25928.044,28,1075.217,25,26.126,34,28.869,32
Tennessee,2021,6965740,7280,21,4650,23,2630,19,75300,22,4630,25,320,14,70,27,1044.684,33,667.84,34,376.844,29,10810.05,36,663.964,44,45.221,18,9.475,40
Tennessee,2022,7062217,10820,19,5330,19,5500,17,257260,21,6720,23,500,22,210,22,1532.238,29,754.013,31,778.226,28,36427.796,28,951.118,40,70.799,28,30.019,29
Tennessee,2023,7148304,12360,19,5720,22,6640,18,423410,20,6560,24,1100,23,330,15,1728.942,30,800.05,32,928.892,27,59231.952,25,917.56,41,154.162,32,46.165,19
Texas,2013,26480266,92670,4,53130,4,39540,3,7605580,3,57950,4,7470,1,810,6,3499.738,10,2006.513,8,1493.225,12,287216.828,8,2188.309,14,281.946,14,30.4,13
Texas,2014,26964333,95300,4,52290,4,43000,3,5248780,4,52880,4,7210,1,850,5,3534.113,10,1939.303,9,1594.81,12,194656.363,9,1961.072,14,267.353,16,31.634,13
Texas,2015,27470056,99730,4,53280,3,46440,3,5064470,4,65470,4,7480,1,1120,4,3630.389,10,1939.676,8,1690.714,13,184363.403,9,2383.213,12,272.26,16,40.626,14
Texas,2016,27914410,110650,4,56490,4,54160,3,5167690,4,63950,4,7800,2,890,4,3963.938,10,2023.686,8,1940.252,13,185126.177,10,2290.752,14,279.533,26,31.776,15
Texas,2017,28295273,110130,4,59910,3,50220,3,7530880,4,50550,4,4770,2,1140,4,3892.028,9,2117.209,8,1774.819,14,266153.255,9,1786.588,15,168.403,24,40.431,19
Texas,2018,28628666,104520,4,58190,3,46320,3,8946050,3,64690,4,1670,1,2270,4,3650.711,10,2032.683,8,1618.029,13,312485.779,9,2259.449,10,58.298,31,79.326,16
Texas,2019,28995881,107960,4,68550,3,39410,3,9461550,3,97680,2,2430,1,2480,5,3723.115,7,2364.06,6,1359.055,13,326306.726,9,3368.582,5,83.908,30,85.598,18
Texas,2020,29239570,74570,3,50580,2,23990,3,4634080,3,66940,3,910,3,1480,5,2550.14,8,1729.745,7,820.395,13,158486.496,9,2289.432,8,30.951,30,50.616,23
Texas,2021,29570351,78870,3,55900,3,22980,3,2002630,2,77030,4,930,2,750,6,2667.3,9,1890.306,8,776.994,9,67724.323,4,2604.805,11,31.417,28,25.262,23
Texas,2022,30113488,109720,4,62870,2,46850,4,5766530,3,106120,2,2110,2,1620,5,3643.55,9,2087.868,8,1555.682,10,191493.194,9,3524.102,9,70.035,29,53.83,20
Texas,2023,30727890,126930,4,74010,3,52910,4,8473460,3,100290,2,5050,1,2260,2,4130.612,6,2408.691,7,1721.921,11,275758.049,9,3263.843,10,164.346,30,73.484,8
Utah,2013,2897640,5500,27,3700,25,1800,32,157970,29,3030,30,1190,22,20,39,1899.132,24,1277.246,21,621.885,29,54516.434,26,1044.298,29,410.334,8,6.212,44
Utah,2014,2936879,6170,25,4290,23,1870,32,166270,29,4310,24,1090,23,30,30,2099.508,21,1461.756,14,637.752,30,56615.203,27,1468.906,19,369.44,10,10.215,30
Utah,2015,2981835,6880,24,4750,24,2130,32,187600,29,4840,23,1110,24,30,36,2308.31,21,1593.65,14,714.661,29,62913.273,26,1622.491,20,371.919,9,10.061,40
Utah,2016,3041868,7270,24,4610,25,2670,31,209120,29,3780,28,1190,25,20,41,2390.308,22,1513.872,15,876.435,28,68745.915,23,1241.014,27,391.864,12,5.917,46
Utah,2017,3101042,6390,27,4090,26,2300,34,240830,29,3140,33,710,25,40,39,2060.598,26,1317.944,19,742.654,33,77659.703,21,1012.885,33,230.245,14,13.221,41
Utah,2018,3153550,5720,29,3470,29,2260,32,258450,29,3410,32,320,28,210,23,1814.78,31,1099.396,28,715.384,31,81953.988,21,1080.687,34,101.473,16,65.64,18
Utah,2019,3205958,6840,26,4930,24,1910,34,257890,29,5370,26,460,26,390,20,2132.904,22,1538.698,13,594.206,33,80441.478,21,1673.447,21,144.419,12,120.089,10
Utah,2020,3284077,5420,25,4380,23,1040,35,118530,28,5230,22,190,24,330,18,1650.692,19,1334.622,11,316.071,34,36092.333,22,1591.315,17,56.941,8,100.485,6
Utah,2021,3339738,5550,24,4340,24,1210,26,65490,25,3960,27,180,25,220,16,1662.406,20,1299.803,16,362.603,32,19608.125,21,1186.021,29,54.795,11,66.472,8
Utah,2022,3391011,6050,27,3710,25,2340,28,176680,28,4790,28,450,25,440,12,1785.013,24,1094.954,20,690.06,31,52102.456,20,1411.673,27,133.294,8,130.05,6
Utah,2023,3443222,7330,25,4760,24,2570,30,249190,27,6650,23,890,24,110,29,2129.691,24,1383.588,18,746.104,34,72370.588,20,1931.911,22,258.479,11,31.076,30
Vermont,2013,626210,840,49,610,48,230,50,65970,42,500,48,320,36,0,,1338.209,33,972.517,32,365.692,45,105340.062,16,792.067,37,514.205,5,0,
Vermont,2014,625214,790,49,620,49,180,52,57280,44,550,48,320,37,10,46,1265.167,37,983.663,26,281.504,49,91618.23,17,882.898,33,507.026,5,11.196,28
Vermont,2015,625216,790,49,540,49,250,51,55020,44,570,47,310,37,0,,1266.762,39,863.702,36,403.061,47,87993.589,17,911.685,33,499.028,5,0,
Vermont,2016,623657,890,50,620,49,270,50,53970,46,590,49,390,37,0,,1420.653,40,994.136,30,426.516,49,86533.142,17,944.429,33,618.93,4,0,
Vermont,2017,624344,790,49,530,49,250,50,58250,46,760,46,240,38,20,46,1260.523,40,853.696,36,406.827,47,93296.324,17,1217.278,27,376.395,4,27.229,27
Vermont,2018,624358,820,49,620,47,200,51,61690,45,690,47,130,35,30,43,1319.756,39,994.622,30,325.134,48,98808.696,18,1109.94,33,213.019,3,49.651,28
Vermont,2019,623989,650,50,460,50,190,50,62050,44,610,49,110,39,20,48,1038.48,43,735.59,40,302.89,47,99434.445,18,983.992,36,182.696,6,24.039,40
Vermont,2020,642977,500,51,360,51,130,50,27250,45,390,49,20,42,10,51,769.856,40,566.117,40,203.74,47,42377.877,20,608.109,44,35.771,22,10.887,45
Vermont,2021,647210,420,50,270,50,160,50,12960,48,590,49,50,36,0,,653.575,45,414.085,46,239.49,41,20027.503,19,913.15,37,72.619,4,0,
Vermont,2022,648142,520,50,310,50,220,50,37200,46,710,48,90,35,0,,806.922,45,470.576,44,336.346,47,57387.116,19,1089.267,37,140.401,6,0,
Vermont,2023,648708,640,50,360,51,280,50,55200,46,750,49,320,35,50,39,983.493,46,556.491,46,427.003,47,85098.38,18,1159.227,34,491.747,2,83.242,6
Virginia,2013,8252427,27860,8,15340,7,12520,8,471690,17,22280,7,1470,19,1120,4,3376.098,11,1858.968,10,1517.129,11,57157.731,24,2699.691,9,178.372,31,135.839,5
Virginia,2014,8310993,28480,8,13790,8,14680,8,506690,16,19650,8,1310,20,850,6,3426.426,11,1659.729,11,1766.696,10,60965.88,24,2363.857,8,157.623,36,102.034,6
Virginia,2015,8361808,27620,8,12780,10,14850,8,546390,16,18390,9,1310,22,900,6,3303.353,13,1528.019,17,1775.334,11,65343.643,23,2199.405,13,156.904,34,107.154,8
Virginia,2016,8410106,29240,9,12550,10,16690,8,569840,16,20440,9,1470,22,760,6,3477.007,14,1492.49,17,1984.517,12,67756.697,25,2430.053,13,174.909,35,90.13,7
Virginia,2017,8463587,29470,8,11590,12,17870,8,585220,17,21930,8,1040,21,900,6,3481.503,13,1369.868,17,2111.634,9,69145.505,26,2591.1,9,123.234,34,106.102,6
Virginia,2018,8501286,27430,8,12350,10,15080,8,585380,17,18120,9,430,22,940,9,3226.1,15,1452.251,17,1773.849,10,68857.7,27,2131.207,11,50.698,34,111.042,11
Virginia,2019,8535519,24780,11,11240,12,13540,8,591560,17,23350,8,550,23,1200,7,2903.631,15,1317.085,20,1586.547,9,69305.452,26,2735.042,11,64.202,35,140.472,8
Virginia,2020,8637615,18180,10,9180,11,9000,7,247320,18,17360,10,240,19,770,8,2105.095,13,1063.256,15,1041.839,6,28633.367,26,2009.814,12,28.249,32,89.608,9
Virginia,2021,8658910,20430,9,12830,10,7600,7,152930,16,20730,8,270,18,630,7,2359.188,11,1481.942,12,877.247,7,17661.345,23,2394.297,15,31.413,29,73.104,7
Virginia,2022,8683414,28900,9,14760,10,14140,8,381920,17,27320,9,640,15,1690,4,3328.414,10,1699.907,10,1628.507,8,43982.47,25,3146.689,11,73.243,22,194.854,4
Virginia,2023,8734685,29600,10,12890,11,16700,9,514310,18,23940,10,1380,20,1940,3,3388.216,13,1476.069,14,1912.147,9,58881.001,26,2740.568,11,157.991,31,222.446,1
Washington,2013,6963985,22990,12,13560,10,9440,12,1415060,8,17590,12,2410,11,360,9,3301.845,12,1946.874,9,1354.971,15,203197.307,10,2525.709,12,346.641,11,51.12,9
Washington,2014,7054655,22710,12,13020,10,9690,12,1141460,10,12250,12,2480,11,320,9,3219.151,12,1845.732,10,1373.419,15,161801.817,12,1735.875,15,351.966,11,45.077,10
Washington,2015,7163657,24770,11,14530,7,10240,12,1174100,10,14340,12,2620,10,590,8,3457.033,11,2027.596,7,1429.438,15,163896.038,12,2001.91,16,365.875,10,82.919,10
Washington,2016,7294771,27300,10,15050,9,12260,12,1225590,11,21660,8,3230,8,600,7,3742.955,12,2062.847,7,1680.108,15,168009.798,11,2968.565,8,442.783,10,82.251,8
Washington,2017,7423362,27360,10,14130,8,13240,11,1364520,10,16030,11,2920,4,670,8,3686.066,12,1902.777,9,1783.289,13,183814.288,12,2159.399,12,393.353,3,90.525,8
Washington,2018,7523869,26030,11,14660,8,11370,12,1508850,9,14750,11,1540,2,840,10,3459.523,12,1947.934,9,1511.589,15,200541.902,11,1959.763,14,204.283,5,111.246,10
Washington,2019,7614893,25570,9,15250,8,10320,12,1520810,9,18510,12,1950,2,850,10,3357.894,11,2002.392,9,1355.502,14,199715.479,11,2430.763,14,255.421,3,111.755,12
Washington,2020,7727209,21550,8,15170,7,6380,13,625320,9,15970,11,1120,2,520,14,2788.717,6,1962.804,4,825.913,12,80923.785,12,2066.594,11,144.425,1,67.295,14
Washington,2021,7743760,22150,8,16780,7,5360,12,243100,11,19510,11,480,7,320,14,2859.722,7,2167.164,6,692.558,13,31393.406,14,2519.577,13,61.985,7,41.453,14
Washington,2022,7794123,31840,8,21710,6,10130,13,829310,10,31040,7,1240,5,640,10,4084.488,6,2785.175,2,1299.312,14,106401.708,12,3982.616,5,159.479,4,81.985,14
Washington,2023,7857320,32190,9,19990,6,12200,12,1462060,8,26280,7,2440,10,480,10,4096.562,8,2543.615,6,1552.947,14,186075.787,10,3344.27,8,310.411,7,61.09,12
West Virginia,2013,1853914,760,50,480,50,280,49,17590,51,440,50,30,44,30,32,409.944,52,257.833,51,152.111,52,9488.035,52,238.954,52,13.485,45,17.8,23
West Virginia,2014,1849489,780,50,410,50,370,47,19230,51,420,50,30,45,20,37,423.36,52,222.764,52,200.596,51,10396.385,52,224.386,52,15.139,45,9.192,32
West Virginia,2015,1842050,790,50,420,50,370,49,20490,51,500,50,30,44,10,45,426.699,52,227.464,52,199.235,51,11125.648,52,271.98,51,16.829,44,5.972,42
West Virginia,2016,1831023,930,49,530,50,400,49,21850,51,500,50,30,45,10,46,506.821,52,288.91,50,217.911,52,11933.22,52,270.341,52,13.654,45,5.461,47
West Virginia,2017,1817004,780,50,410,50,370,49,23580,51,560,50,10,47,10,50,427.077,52,222.894,52,204.182,51,12978.507,52,308.2,50,7.155,47,3.852,51
West Virginia,2018,1804291,680,50,360,50,320,49,24360,51,570,49,0,,10,49,374.108,52,197.307,51,176.801,52,13503.365,52,317.576,52,0,,6.097,49
West Virginia,2019,1792147,820,49,480,49,340,49,38130,50,490,50,0,,10,52,455.878,52,267.277,51,188.601,51,21278.388,51,274.531,52,0,,3.906,51
West Virginia,2020,1791646,550,49,390,50,150,49,11770,51,320,50,0,,10,50,305.306,52,219.351,51,85.954,52,6569.378,52,177.49,52,0,,4.465,50
West Virginia,2021,1785618,490,49,310,49,180,49,8210,50,490,50,0,,0,,276.655,52,174.169,52,102.486,52,4595.048,52,272.175,52,0,,0,
West Virginia,2022,1774122,810,47,540,46,270,49,17230,51,660,49,10,47,10,48,458.819,51,304.376,50,154.443,51,9710.719,52,372.015,50,7.328,45,5.073,49
West Virginia,2023,1770495,770,49,440,49,330,49,23550,51,570,50,0,,10,49,435.471,52,249.648,51,185.824,51,13302.495,52,320.249,52,0,,4.519,50
Wisconsin,2013,5736754,5920,26,3590,26,2330,26,157130,30,4530,25,940,24,50,26,1031.594,42,625.266,42,406.327,42,27389.705,43,789.994,38,164.204,33,9.239,38
Wisconsin,2014,5751525,6000,26,3620,27,2380,26,165410,30,3770,27,1130,22,20,33,1042.68,42,628.703,41,413.977,43,28760.025,44,655.478,41,196.296,30,3.825,42
Wisconsin,2015,5760940,6660,26,3990,26,2670,25,178070,31,3740,28,1420,21,30,37,1155.193,41,691.901,41,463.292,40,30910.233,44,648.852,43,245.62,25,5.207,44
Wisconsin,2016,5772628,7110,25,4030,26,3080,27,190160,31,3830,27,1690,19,40,30,1231.848,43,698.122,42,533.726,42,32940.976,43,662.61,45,292.934,23,7.622,43
Wisconsin,2017,5790186,6680,26,3810,27,2870,26,208650,30,3170,31,940,24,90,28,1153.849,43,657.665,42,496.184,44,36035.285,44,546.615,44,162.689,26,14.68,39
Wisconsin,2018,5807406,7430,26,4670,26,2760,25,221710,31,4720,25,400,24,110,33,1279.917,42,804.662,40,475.255,41,38176.597,42,811.894,41,69.566,26,18.597,40
Wisconsin,2019,5822434,7140,24,4830,25,2310,27,225040,31,5690,24,600,21,230,23,1225.948,39,829.378,36,396.57,43,38650.159,43,977.598,37,102.363,24,39.159,33
Wisconsin,2020,5897375,4530,26,3230,26,1290,27,89800,33,3560,27,250,17,200,22,767.291,41,547.871,41,219.42,45,15226.775,47,602.98,45,42.392,17,33.235,30
Wisconsin,2021,5881608,5030,25,3650,25,1380,25,49930,29,5030,24,370,12,140,21,854.358,39,620.409,38,233.95,43,8489.005,47,855.038,39,63.078,6,24.483,24
Wisconsin,2022,5903975,6110,26,3640,26,2470,27,131340,32,6130,25,650,14,140,28,1034.727,42,616.703,40,418.023,43,22245.352,44,1037.437,39,109.248,11,22.866,33
Wisconsin,2023,5930405,6820,27,3880,27,2940,27,178150,31,5210,26,1390,19,80,34,1149.669,41,653.581,40,496.088,43,30040.444,43,878.018,42,234.891,15,12.815,43
Wyoming,2013,582122,520,51,300,51,230,51,22860,50,240,52,0,,10,46,896.719,46,506.767,46,389.953,43,39263.247,35,415.72,48,0,,10.307,35
Wyoming,2014,582531,410,52,220,52,190,51,24840,50,220,52,0,,10,48,710.692,49,377.662,48,333.029,48,42643.224,33,372.512,48,0,,8.583,36
Wyoming,2015,585613,540,51,280,52,260,50,26310,50,260,51,0,,0,,920.403,47,478.131,46,442.272,43,44920.451,34,438.856,49,0,,0,
Wyoming,2016,584215,460,52,230,52,230,52,27940,50,230,52,0,,0,,790.805,49,397.114,48,393.691,50,47828.282,34,398.826,49,0,,0,
Wyoming,2017,578931,440,52,240,52,210,52,31340,50,250,52,0,,10,52,766.931,49,412.83,47,354.101,49,54139.44,33,426.648,48,0,,8.637,46
Wyoming,2018,577601,410,52,230,52,180,52,31420,50,260,52,0,,10,52,708.101,49,405.124,48,302.977,49,54395.681,33,443.213,49,0,,8.656,48
Wyoming,2019,578759,410,52,270,52,140,52,31970,51,330,52,0,,10,51,708.412,49,464.788,47,243.625,50,55237.154,34,570.186,48,0,,17.278,42
Wyoming,2020,577681,240,52,170,52,70,52,12090,50,210,52,0,,0,,417.185,50,289.087,49,128.098,50,20935.43,38,360.06,49,0,,0,
Wyoming,2021,579636,280,52,190,52,90,52,5830,52,230,52,0,,0,,483.062,48,327.792,48,155.27,49,10052.861,38,391.625,48,0,,0,
Wyoming,2022,581978,360,52,200,52,160,52,17480,50,300,52,0,,0,,613.425,48,336.782,48,276.643,49,30032.063,36,512.047,48,0,,0,
Wyoming,2023,585067,400,52,250,52,140,52,25130,50,330,52,0,,10,52,675.136,49,430.72,48,244.416,50,42955.764,36,569.166,48,0,,8.546,47
